active_rank,player_name,rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
,R_QU,1466.82,2,0.07,2025-07-25,107,1.025,False
,InFecTed,1466.7,23,0.77,2025-10-03,37,1.025,False
,Lansquenet [FR],1466.64,3,0.1,2025-11-09,0,1.075,False
,MootDasBoot,1466.48,1,0.03,2025-10-30,10,1.0,False
,davemadasafish,1466.29,1,0.03,2025-08-05,96,1.0,False
,MrPitos,1466.02,1,0.03,2025-08-03,98,1.0,False
,饼饼大王,1465.78,1,0.03,2025-08-20,81,1.0,False
,Jlerpy,1465.7,1,0.03,2025-08-16,85,1.0,False
,AncientElm,1465.62,1,0.03,2025-08-12,89,1.0,False
,Apricot,1465.37,5,0.17,2025-10-23,17,1.175,False
,seb,1465.07,1,0.03,2025-08-21,80,1.0,False
,Paper20,1465.05,2,0.07,2025-11-03,6,1.05,False
,LegendOfNox,1464.54,1,0.03,2025-07-27,105,1.0,False
,acestones,1464.45,1,0.03,2025-07-31,101,1.0,False
,Zemium,1464.07,1,0.03,2025-07-26,106,1.0,False
,willyzj,1463.49,1,0.03,2025-10-06,34,1.0,False
,Lucastrian,1463.12,1,0.03,2025-08-06,95,1.0,False
,Xanthum,1462.87,1,0.03,2025-10-21,19,1.0,False
,Bayneish,1462.53,1,0.03,2025-09-27,43,1.0,False
,RedRevel,1462.45,1,0.03,2025-09-14,56,1.0,False
,$erpent,1462.41,1,0.03,2025-11-06,3,1.0,False
,Embrião du Mal,1462.41,1,0.03,2025-08-02,99,1.0,False
,Lance,1462.28,1,0.03,2025-09-24,46,1.0,False
,alejjop,1462.12,1,0.03,2025-10-25,15,1.0,False
,izikvasque,1461.96,1,0.03,2025-07-25,107,1.0,False
,bum8484,1461.88,1,0.03,2025-08-04,97,1.0,False
,Wyler,1461.85,1,0.03,2025-11-08,1,1.0,False
,Salam,1461.48,1,0.03,2025-07-29,103,1.0,False
,HayRid,1461.39,1,0.03,2025-09-26,44,1.0,False
,dicksposable,1461.36,1,0.03,2025-07-28,104,1.0,False
,lukasz.wrobel2,1461.04,1,0.03,2025-10-07,33,1.0,False
,lgautschi,1460.99,2,0.07,2025-08-04,97,1.225,False
,woody.martin,1460.75,1,0.03,2025-07-24,108,1.0,False
,lapunir,1460.74,1,0.03,2025-10-09,31,1.0,False
,Ziko,1460.27,3,0.1,2025-10-11,29,1.05,False
,Sanarex,1460.05,1,0.03,2025-08-13,88,1.0,False
,11Napo11,1459.81,1,0.03,2025-08-29,72,1.0,False
,Veit_the_Insane,1459.54,1,0.03,2025-10-31,9,1.0,False
,toshio,1459.29,1,0.03,2025-07-27,105,1.0,False
,mfghades,1459.19,2,0.07,2025-08-28,73,1.25,False
,Feeter Parker,1458.72,1,0.03,2025-10-19,21,1.0,False
,Don Bolsack aka The crust Fist,1458.52,3,0.1,2025-07-30,102,1.025,False
,Serratus,1457.76,1,0.03,2025-10-18,22,1.0,False
,ry4n.playerb0x,1457.71,1,0.03,2025-11-07,2,1.0,False
,habitualproblem,1457.69,1,0.03,2025-08-08,93,1.0,False
,rafael.olvb,1457.48,1,0.03,2025-10-25,15,1.0,False
,SpiritingEzlo,1457.31,1,0.03,2025-09-27,43,1.0,False
,G.Marshall,1457.2,2,0.07,2025-07-29,103,1.125,False
,MATDAX,1457.15,1,0.03,2025-08-27,74,1.0,False
,In_sanity,1457.02,1,0.03,2025-10-30,10,1.0,False
,Harvester of the Sea,1457.02,1,0.03,2025-08-02,99,1.0,False
,nopX0f,1456.29,1,0.03,2025-10-16,24,1.0,False
,JY78993,1456.28,2,0.07,2025-10-22,18,1.1,False
,lordxjello,1456.04,1,0.03,2025-07-24,108,1.0,False
,xXBeefinatorXx,1455.71,1,0.03,2025-08-12,89,1.0,False
,gvoice,1455.36,1,0.03,2025-07-28,104,1.0,False
,Monty,1455.16,1,0.03,2025-11-03,6,1.0,False
,mlehtan,1454.77,1,0.03,2025-07-27,105,1.0,False
,skullsplitter,1453.88,1,0.03,2025-10-19,21,1.0,False
,Chocojoe,1453.08,2,0.07,2025-09-16,54,1.25,False
,nd.dasa,1452.85,2,0.07,2025-10-04,36,1.2,False
,tyoshea,1452.71,1,0.03,2025-10-22,18,1.0,False
,Sturm,1451.9,1,0.03,2025-07-29,103,1.0,False
,JohnRust,1451.55,2,0.07,2025-09-15,55,1.2,False
,cannedLED,1451.26,1,0.03,2025-11-05,4,1.0,False
,Millonmaster,1451.06,2,0.07,2025-08-31,70,1.025,False
,sala7,1450.19,4,0.13,2025-10-31,9,1.05,False
,Dusk Deadman,1449.92,1,0.03,2025-07-30,102,1.0,False
40,Lucyyyyy,1448.78,8,0.27,2025-11-05,4,1.05,True
,BigAl227,1448.68,1,0.03,2025-07-23,109,1.0,False
,Ucicke,1448.65,1,0.03,2025-08-04,97,1.0,False
,Netaki,1446.93,1,0.03,2025-07-29,103,1.0,False
,zephyr_goldwing,1446.54,2,0.07,2025-08-01,100,1.15,False
,ＮＥＦＡＲＩＯＵＳ,1444.51,25,0.83,2025-10-03,37,1.05,False
,マイゼネス,1443.2,1,0.03,2025-07-26,106,1.0,False
,Kingdedede bobo,1442.25,3,0.1,2025-11-08,1,1.1,False
,kwork,1440.84,2,0.07,2025-10-12,28,1.075,False
,mikan,1438.19,3,0.1,2025-09-07,63,1.2,False
,Toasted Knubs,1437.81,2,0.07,2025-08-30,71,1.25,False
,Divi,1437.45,2,0.07,2025-10-14,26,1.025,False
,SAB3600,1436.64,2,0.07,2025-07-26,106,1.075,False
41,HaV0C,1435.14,7,0.23,2025-11-09,0,1.175,True
,Coyface,1432.14,2,0.07,2025-10-29,11,1.125,False
,rockallostatopuro,1430.65,5,0.17,2025-10-31,9,1.25,False
,slendermandoc,1425.56,4,0.13,2025-09-30,40,1.1,False
,lovci,1425.48,7,0.23,2025-09-20,50,1.175,False
,RandomTieflingGirl,1424.68,2,0.07,2025-08-12,89,1.1,False
,Brontozaurul,1424.06,3,0.1,2025-10-29,11,1.025,False
,Skruntoo,1424.02,6,0.2,2025-11-09,0,1.025,False
,LTex,1423.14,2,0.07,2025-11-07,2,1.1,False
,seamon.lark,1422.59,2,0.07,2025-11-08,1,1.05,False
,Bananaman0002TTV,1422.13,2,0.07,2025-10-12,28,1.025,False
,izombie,1421.49,2,0.07,2025-10-27,13,1.025,False
42,stuffed wombat,1420.76,30,1.0,2025-11-07,2,1.05,True
,tim.ang,1417.27,3,0.1,2025-09-21,49,1.2,False
,Gonzalo,1416.66,7,0.23,2025-10-25,15,1.25,False
,Eddinater1,1416.24,2,0.07,2025-09-29,41,1.025,False
,Miki,1416.23,2,0.07,2025-10-22,18,1.25,False
,wœire,1414.03,49,1.0,2025-10-31,9,1.075,False
43,okayyako,1406.66,7,0.23,2025-11-03,6,1.025,True
,Mequiadore,1404.9,3,0.1,2025-10-31,9,1.05,False
,Lord of DWARVES,1399.68,7,0.23,2025-10-04,36,1.25,False
,flowerlady32,1396.19,25,0.83,2025-11-01,8,1.025,False
,f,1394.41,2,0.07,2025-08-06,95,1.125,False
,Relda,1390.89,2,0.07,2025-08-16,85,1.075,False
,Red Cyclone,1388.74,4,0.13,2025-09-08,62,1.05,False
,zdarova,1385.28,9,0.3,2025-08-18,83,1.025,False
,MDyo,1382.43,2,0.07,2025-10-19,21,1.25,False
,goth_milk,1379.95,3,0.1,2025-09-04,66,1.2,False
,swmichal,1378.52,3,0.1,2025-11-09,0,1.25,False
,oli-go,1378.31,2,0.07,2025-08-23,78,1.05,False
,drewtschida,1375.44,2,0.07,2025-09-24,46,1.125,False
,bijosclark,1373.14,2,0.07,2025-10-03,37,1.025,False
,Bolmont,1373.02,2,0.07,2025-10-18,22,1.225,False
44,elegantmechanic,1370.88,14,0.47,2025-11-08,1,1.2,True
,ledance.show,1369.67,2,0.07,2025-10-22,18,1.175,False
,skipper921,1369.64,2,0.07,2025-08-25,76,1.1,False
,BaaahFieri,1368.68,4,0.13,2025-10-30,10,1.15,False
,seagull,1368.51,15,0.5,2025-09-25,45,1.05,False
,Softboness,1367.98,3,0.1,2025-11-05,4,1.025,False
,BTsin,1364.93,2,0.07,2025-10-24,16,1.225,False
,RoyMartini,1364.22,3,0.1,2025-10-12,28,1.25,False
,无名小卒,1362.88,5,0.17,2025-10-11,29,1.25,False
,Hirow,1361.44,11,0.37,2025-10-19,21,1.25,False
,minneymcshort,1355.78,4,0.13,2025-08-12,89,1.125,False
,dantebal,1354.11,2,0.07,2025-08-15,86,1.225,False
,KapitanJosh,1350.14,3,0.1,2025-10-23,17,1.075,False
,AverageLiam,1348.33,2,0.07,2025-11-04,5,1.175,False
,Papillon,1347.44,6,0.2,2025-08-22,79,1.05,False
,santiblader,1347.38,2,0.07,2025-10-23,17,1.1,False
,vyacheslavmurzagulov,1347.24,3,0.1,2025-11-06,3,1.1,False
,deadedd,1347.22,3,0.1,2025-10-29,11,1.075,False
,Orlum,1342.43,2,0.07,2025-07-27,105,1.025,False
45,Blipkin,1340.42,17,0.57,2025-11-08,1,1.025,True
,Beyond,1338.12,2,0.07,2025-09-19,51,1.25,False
,isaacdahmen,1337.9,2,0.07,2025-08-23,78,1.175,False
,Alexwastaken,1331.25,3,0.1,2025-11-04,5,1.025,False
,SlimReaper,1328.59,2,0.07,2025-10-23,17,1.25,False
,Lokken,1313.05,3,0.1,2025-08-13,88,1.125,False
,Skullkrakka,1308.84,3,0.1,2025-11-06,3,1.05,False
,adrian,1305.73,6,0.2,2025-11-09,0,1.05,False
,Jokefish,1305.27,4,0.13,2025-09-01,69,1.25,False
,lVlatman,1302.82,3,0.1,2025-09-04,66,1.25,False
,NikitaNV,1296.74,4,0.13,2025-11-08,1,1.05,False
,John Witcher,1294.54,4,0.13,2025-10-28,12,1.25,False
46,fgmqueiros,1291.74,10,0.33,2025-11-05,4,1.25,True
,Rikyyy,1291.4,8,0.27,2025-08-17,84,1.075,False
47,Calibur,1282.91,12,0.4,2025-11-05,4,1.075,True
,onetimecharley,1275.2,9,0.3,2025-10-14,26,1.05,False
,Spartacus,1270.17,5,0.17,2025-09-14,56,1.05,False
,TheShadow,1264.11,4,0.13,2025-10-14,26,1.075,False
,krd,1236.04,6,0.2,2025-10-14,26,1.05,False
,Professor Finesser,1234.44,3,0.1,2025-09-22,48,1.25,False
,Minhas,1231.29,4,0.13,2025-09-15,55,1.15,False
48,goatskvll,1218.89,10,0.33,2025-11-07,2,1.025,True
49,t.lewis140,1203.77,10,0.33,2025-11-05,4,1.1,True
,Lemonhammer,1182.48,7,0.23,2025-09-18,52,1.25,False
50,hrejarz2,1158.65,49,1.0,2025-11-08,1,1.05,True
,GRRRGRRRGGHHRRRRGRRRRRRR,1153.54,6,0.2,2025-11-04,5,1.25,False
51,yahasuri,1151.94,11,0.37,2025-11-05,4,1.025,True
52,Коmар,1123.2,14,0.47,2025-11-07,2,1.075,True
53,yaelsky96,1101.68,11,0.37,2025-11-07,2,1.25,True
