active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2804.07,2114.23,61,1.0,2026-01-25,0,1.025,True
2,Jeeda Sensei,2670.66,1970.07,56,1.0,2026-01-25,0,1.025,True
3,N Prime,2656.08,1957.82,25,0.83,2026-01-24,1,1.1,True
4,Quali,2548.98,1879.83,71,1.0,2026-01-25,0,1.025,True
5,S31gn3ur Chr3t13n,2507.5,1853.94,43,1.0,2026-01-25,0,1.025,True
6,camoutbussin,2477.7,1836.46,30,1.0,2026-01-25,0,1.075,True
7,luisarlen23,2459.41,1826.15,27,0.9,2026-01-25,0,1.025,True
8,Skoops!,2389.28,1789.11,38,1.0,2026-01-25,0,1.025,True
9,Blumpo Gripliskin,2354.09,1771.81,15,0.5,2026-01-23,2,1.025,True
10,doniatka,2343.97,1766.97,30,1.0,2026-01-19,6,1.1,True
11,Xrenoid,2342.17,1766.12,44,1.0,2026-01-24,1,1.025,True
12,Siker_7,2284.92,1739.89,30,1.0,2026-01-25,0,1.025,True
13,btroitsk,2249.76,1724.58,34,1.0,2026-01-24,1,1.25,True
14,Reynauld,2013.15,1633.48,12,0.4,2026-01-23,2,1.1,True
15,Dreamweaver,2007.68,1631.57,37,1.0,2026-01-24,1,1.025,True
16,TheHunter222,1974.34,1620.1,20,0.67,2026-01-22,3,1.025,True
17,Conroy Milk,1917.43,1601.1,18,0.6,2026-01-25,0,1.025,True
18,genevrier_ou,1858.67,1582.21,24,0.8,2026-01-25,0,1.05,True
19,maximeeepje,1825.69,1571.91,10,0.33,2026-01-22,3,1.025,True
20,masterv5983,1749.94,1549.04,37,1.0,2026-01-25,0,1.1,True
21,blankE,1737.49,1545.38,35,1.0,2026-01-23,2,1.025,True
22,ciga,1688.08,1531.15,35,1.0,2026-01-24,1,1.025,True
23,Skit,1684.04,1530.0,13,0.43,2026-01-25,0,1.025,True
24,khang.pham2401,1596.7,1506.01,30,1.0,2026-01-21,4,1.25,True
25,Frango,1561.22,1496.69,15,0.5,2026-01-25,0,1.025,True
26,schmendrikson,1516.53,1485.34,15,0.5,2026-01-22,3,1.025,True
27,Odin_Gr,1507.19,1483.02,14,0.47,2026-01-20,5,1.15,True
28,Xial,1506.55,1482.86,8,0.27,2026-01-25,0,1.25,True
29,Коmар,1502.13,1481.77,21,0.7,2026-01-25,0,1.025,True
30,hubby26,1499.96,1481.23,11,0.37,2026-01-25,0,1.15,True
31,tsromanow,1463.37,1467.01,18,0.6,2026-01-24,1,1.025,True
32,JarJar,1419.56,1449.77,31,1.0,2026-01-25,0,1.025,True
33,Lovis,1412.25,1446.85,28,0.93,2026-01-24,1,1.05,True
34,Delta.357,1370.05,1429.65,7,0.23,2026-01-23,2,1.075,True
35,WhiteNorth,1360.21,1425.54,7,0.23,2026-01-24,1,1.05,True
36,Kola Koala,1334.9,1414.7,8,0.27,2026-01-18,7,1.1,True
37,jamiebagley233,1332.5,1413.66,8,0.27,2026-01-23,2,1.125,True
38,slaaneshtgof,1315.03,1405.92,17,0.57,2026-01-19,6,1.05,True
39,Coyface,1269.47,1384.52,8,0.27,2026-01-18,7,1.1,True
40,Hirow,1261.36,1380.49,14,0.47,2026-01-25,0,1.025,True
41,Grimning,1254.29,1376.9,24,0.8,2026-01-25,0,1.05,True
42,jjjeffer78,1239.08,1368.96,19,0.63,2026-01-25,0,1.025,True
43,HZaninelli,1226.41,1362.08,10,0.33,2026-01-24,1,1.025,True
44,Pask74,1209.96,1352.73,7,0.23,2026-01-21,4,1.025,True
45,Bananahammockjoe,1206.2,1350.51,9,0.3,2026-01-22,3,1.1,True
46,benreichardt,1163.48,1322.91,9,0.3,2026-01-24,1,1.125,True
47,hrejarz2,1162.82,1322.45,22,0.73,2026-01-25,0,1.075,True
48,Mr_Aapies,1155.91,1317.44,11,0.37,2026-01-23,2,1.025,True
49,Halswein,1147.08,1310.78,8,0.27,2026-01-21,4,1.075,True
50,Hfmotta,1127.33,1294.57,15,0.5,2026-01-25,0,1.025,True
