active_rank,player_name,rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2798.61,123,1.0,2026-01-25,0,1.025,True
2,N Prime,2793.07,89,1.0,2026-01-24,1,1.1,True
3,Jeeda Sensei,2792.16,56,1.0,2026-01-25,0,1.025,True
4,Quali,2778.19,154,1.0,2026-01-25,0,1.025,True
5,Blumpo Gripliskin,2772.01,70,1.0,2026-01-23,2,1.025,True
6,S31gn3ur Chr3t13n,2770.04,115,1.0,2026-01-25,0,1.025,True
7,camoutbussin,2766.15,42,1.0,2026-01-25,0,1.075,True
8,luisarlen23,2758.31,27,0.9,2026-01-25,0,1.025,True
9,Skoops!,2733.38,66,1.0,2026-01-25,0,1.025,True
10,Xrenoid,2722.88,103,1.0,2026-01-24,1,1.025,True
11,doniatka,2720.11,30,1.0,2026-01-19,6,1.1,True
12,btroitsk,2700.61,97,1.0,2026-01-24,1,1.25,True
13,Siker_7,2692.15,32,1.0,2026-01-25,0,1.025,True
14,maximeeepje,2532.03,48,1.0,2026-01-22,3,1.025,True
15,TheHunter222,2487.74,41,1.0,2026-01-22,3,1.025,True
16,Dreamweaver,2461.66,67,1.0,2026-01-24,1,1.025,True
17,Reynauld,2436.99,12,0.4,2026-01-23,2,1.1,True
18,Conroy Milk,2307.33,18,0.6,2026-01-25,0,1.025,True
19,genevrier_ou,2225.52,24,0.8,2026-01-25,0,1.05,True
20,masterv5983,2050.87,106,1.0,2026-01-25,0,1.1,True
21,blankE,2029.72,86,1.0,2026-01-23,2,1.025,True
22,ciga,1926.28,45,1.0,2026-01-24,1,1.025,True
23,Skit,1893.5,13,0.43,2026-01-25,0,1.025,True
24,TheDimedroll,1807.5,13,0.43,2026-01-22,3,1.25,True
25,khang.pham2401,1757.7,32,1.0,2026-01-21,4,1.25,True
26,Odin_Gr,1736.75,17,0.57,2026-01-20,5,1.15,True
27,Frango,1664.4,15,0.5,2026-01-25,0,1.025,True
28,hubby26,1592.93,11,0.37,2026-01-25,0,1.15,True
29,Xial,1589.08,8,0.27,2026-01-25,0,1.25,True
30,schmendrikson,1512.3,24,0.8,2026-01-22,3,1.025,True
31,tsromanow,1481.66,18,0.6,2026-01-24,1,1.025,True
32,JarJar,1456.97,59,1.0,2026-01-25,0,1.025,True
33,Lovis,1422.13,28,0.93,2026-01-24,1,1.05,True
34,Коmар,1418.04,35,1.0,2026-01-25,0,1.025,True
35,(-.-)Zzz,1410.82,9,0.3,2026-01-22,3,1.25,True
36,flowerlady32,1396.75,29,0.97,2026-01-20,5,1.025,True
37,Delta.357,1365.24,7,0.23,2026-01-23,2,1.075,True
38,yaelsky96,1361.6,17,0.57,2026-01-25,0,1.1,True
39,WhiteNorth,1359.18,7,0.23,2026-01-24,1,1.05,True
40,augustboyer198,1347.43,11,0.37,2026-01-18,7,1.125,True
41,slaaneshtgof,1345.67,33,1.0,2026-01-19,6,1.05,True
42,jamiebagley233,1335.34,8,0.27,2026-01-23,2,1.125,True
43,Kingdedede bobo,1334.41,8,0.27,2026-01-21,4,1.1,True
44,Kola Koala,1326.96,8,0.27,2026-01-18,7,1.1,True
45,Varravann,1314.49,16,0.53,2026-01-25,0,1.1,True
46,HZaninelli,1243.35,64,1.0,2026-01-24,1,1.025,True
47,Grimning,1242.88,24,0.8,2026-01-25,0,1.05,True
48,Hirow,1230.1,25,0.83,2026-01-25,0,1.025,True
49,jjjeffer78,1228.34,19,0.63,2026-01-25,0,1.025,True
50,Coyface,1228.11,10,0.33,2026-01-18,7,1.1,True
51,Pask74,1194.14,7,0.23,2026-01-21,4,1.025,True
52,Bananahammockjoe,1183.26,10,0.33,2026-01-22,3,1.1,True
53,cannedLED,1170.93,7,0.23,2026-01-21,4,1.15,True
54,benreichardt,1147.18,9,0.3,2026-01-24,1,1.125,True
55,hrejarz2,1145.03,71,1.0,2026-01-25,0,1.075,True
56,Mr_Aapies,1138.31,11,0.37,2026-01-23,2,1.025,True
57,Halswein,1129.69,8,0.27,2026-01-21,4,1.075,True
58,Hfmotta,1111.59,15,0.5,2026-01-25,0,1.025,True
