rank,player_name,rating,games_played,confidence,last_seen
101,darknuckelavee,1679.76,4,0.13,2025-08-07
102,PixeledPink,1673.93,1,0.03,2025-10-18
103,Chill,1672.96,1,0.03,2025-07-29
104,Chaobacca,1672.16,1,0.03,2025-09-22
105,NakedKnives,1669.67,1,0.03,2025-10-16
106,macfield,1667.28,1,0.03,2025-10-11
107,mfloresgalindo,1665.17,1,0.03,2025-10-17
108,kenouki,1663.24,1,0.03,2025-07-30
109,Skoops!,1662.7,28,0.93,2025-09-08
110,Motorni,1660.53,2,0.07,2025-09-15
111,Bowz3r,1659.58,1,0.03,2025-07-23
112,hzp123,1658.43,1,0.03,2025-07-29
113,Lololol_35,1657.23,2,0.07,2025-07-27
114,Mojo.Jojo,1647.42,1,0.03,2025-10-29
115,Fakin Cruasán,1645.65,1,0.03,2025-08-18
116,Nigward,1645.11,1,0.03,2025-11-07
117,Tak,1643.43,1,0.03,2025-10-25
118,DelinquentGhost,1642.76,1,0.03,2025-07-23
119,grimmfeed,1642.21,2,0.07,2025-08-08
120,st4rcrossedpainters,1641.64,1,0.03,2025-07-26
121,Aidoneus,1640.12,1,0.03,2025-08-07
122,Styrkar,1639.65,1,0.03,2025-09-22
123,Ramalian,1635.27,1,0.03,2025-07-27
124,恶势力修正液,1634.04,1,0.03,2025-07-31
125,Misiu,1632.81,2,0.07,2025-08-04
126,Mamalitaoh,1632.21,1,0.03,2025-08-13
127,Wolf of Dresden,1628.92,1,0.03,2025-10-25
128,Dead3y3,1628.56,1,0.03,2025-08-08
129,King-Otter,1628.28,1,0.03,2025-10-16
130,MilchReis,1626.9,1,0.03,2025-08-16
131,Yolo from the Swagland,1625.49,1,0.03,2025-07-29
132,sophist,1624.58,1,0.03,2025-08-07
133,I'm Bad,1621.79,1,0.03,2025-09-27
134,Seer,1618.65,1,0.03,2025-07-30
135,TundraTyp,1613.92,1,0.03,2025-08-09
136,icarus.word,1612.62,1,0.03,2025-11-09
137,The One,1611.82,1,0.03,2025-11-07
138,BlackDragon457,1611.1,3,0.1,2025-08-31
139,SeЯgîσ,1610.71,1,0.03,2025-07-23
140,Zap,1610.27,16,0.53,2025-11-09
141,Toman804,1609.96,7,0.23,2025-10-11
142,ObeseLee,1609.01,1,0.03,2025-07-24
143,milomad,1608.7,1,0.03,2025-08-17
144,熙攘cau,1607.39,1,0.03,2025-08-08
145,Abigor222,1603.39,1,0.03,2025-07-25
146,MT6,1602.54,2,0.07,2025-08-06
147,hallas,1602.19,1,0.03,2025-10-20
148,Averillism,1601.61,1,0.03,2025-11-06
149,Dr Dev,1601.27,1,0.03,2025-10-03
150,shika,1600.95,2,0.07,2025-08-11
151,KingofRedLions,1600.82,1,0.03,2025-10-18
152,coolfry,1600.49,1,0.03,2025-08-02
153,El Tigre,1599.6,2,0.07,2025-09-02
154,PrimeHunter,1599.26,4,0.13,2025-07-30
155,necrocloudchan,1597.51,1,0.03,2025-08-25
156,TheKoolestAid,1596.34,1,0.03,2025-10-08
157,Void,1595.89,2,0.07,2025-10-08
158,Mr. T,1593.87,1,0.03,2025-09-27
159,GreyGuide,1592.91,1,0.03,2025-07-24
160,Cyantics,1590.75,1,0.03,2025-08-04
161,Scary Monster,1588.5,1,0.03,2025-10-01
162,bucetao666,1588.19,1,0.03,2025-10-11
163,o_cRaM,1587.72,1,0.03,2025-08-12
164,Nixtyo,1586.46,1,0.03,2025-11-09
165,Miawouf,1586.23,1,0.03,2025-09-06
166,Resident Dodo,1586.06,1,0.03,2025-10-09
167,rougesforhire,1585.82,1,0.03,2025-08-02
168,TastySandwich,1585.22,1,0.03,2025-10-19
169,Wyit,1580.29,3,0.1,2025-09-01
170,All the Good Names Are Taken,1579.9,7,0.23,2025-08-23
171,SilverEyes,1579.6,1,0.03,2025-09-25
172,Galan,1579.44,1,0.03,2025-09-27
173,Flyintofu,1579.16,1,0.03,2025-07-23
174,AsheArala,1577.2,1,0.03,2025-10-25
175,mATT,1576.34,1,0.03,2025-10-17
176,kn0ck0ut,1576.2,1,0.03,2025-08-03
177,3464770371,1574.71,1,0.03,2025-08-06
178,initsuj,1573.13,1,0.03,2025-10-02
179,Cepterro,1572.68,1,0.03,2025-09-26
180,Necem,1572.33,1,0.03,2025-09-22
181,towardsvinland,1570.74,1,0.03,2025-08-10
182,dead_bob,1569.6,1,0.03,2025-07-26
183,Jacob Helldiver,1567.29,1,0.03,2025-10-22
184,Evolution,1566.68,1,0.03,2025-09-04
185,Aesthetic Lemon,1565.34,1,0.03,2025-08-23
186,Ludus,1564.04,2,0.07,2025-08-22
187,PandaKitten,1563.55,1,0.03,2025-10-04
188,Haffey,1562.78,19,0.63,2025-11-08
189,dapperrogue,1561.14,1,0.03,2025-07-27
190,KeDi,1560.75,1,0.03,2025-09-24
191,TheTyrWarrior,1559.69,2,0.07,2025-08-16
192,BoneCountess,1558.65,1,0.03,2025-07-24
193,Th0r14n,1558.37,1,0.03,2025-09-26
194,SKELETON GUY!!!!!,1557.79,1,0.03,2025-10-15
195,Kazed,1557.26,1,0.03,2025-10-20
196,tom.hopkin,1555.19,4,0.13,2025-10-26
197,Black-angel972,1553.8,1,0.03,2025-10-25
198,Bank,1552.62,1,0.03,2025-10-22
199,hell,1552.15,1,0.03,2025-11-07
200,Bananahammockjoe,1551.65,1,0.03,2025-11-06
201,Aornis_styx,1551.15,1,0.03,2025-11-03
202,Jakalo,1550.98,1,0.03,2025-09-25
203,符号,1550.94,1,0.03,2025-09-16
204,Iwantaname,1550.93,1,0.03,2025-10-19
205,Xanadu,1550.36,1,0.03,2025-10-01
206,B2M,1550.3,1,0.03,2025-07-26
207,Arakjin,1550.25,1,0.03,2025-08-14
208,838122597,1549.77,1,0.03,2025-07-25
209,jamesgriffiths,1546.66,3,0.1,2025-08-01
210,juicyteach,1546.44,3,0.1,2025-11-09
211,本子丶本子,1545.24,1,0.03,2025-08-27
212,Don.Pedr0 Teach me English Pls,1543.39,9,0.3,2025-08-14
213,Zthulu,1542.67,1,0.03,2025-10-20
214,Crisp_Wisp,1540.72,1,0.03,2025-11-05
215,MythalJedi,1540.69,8,0.27,2025-11-06
216,linniepinnie,1540.13,2,0.07,2025-08-03
217,superspazmataz,1538.61,11,0.37,2025-10-24
218,otterwolfy,1538.5,1,0.03,2025-10-15
219,Raymond,1538.18,1,0.03,2025-07-29
220,cellsul,1537.47,1,0.03,2025-10-23
221,schnitzelrgood,1535.88,1,0.03,2025-07-23
