rank,player_name,rating,games_played,confidence,last_seen
518,SWAGLORD90909,1264.54,10,0.33,2025-10-17
519,Hirow,1263.2,11,0.37,2025-10-19
520,Professor Finesser,1249.48,3,0.1,2025-09-22
521,seagull,1239.5,15,0.5,2025-09-25
522,Jokefish,1234.63,4,0.13,2025-09-01
523,Gonzalo,1227.87,7,0.23,2025-10-25
524,masterv5983,1222.62,69,1.0,2025-11-09
525,TheShadow,1214.64,4,0.13,2025-10-14
526,Minhas,1213.17,4,0.13,2025-09-15
527,jax,1185.68,43,1.0,2025-11-03
528,ppr74,1174.69,32,1.0,2025-11-05
529,Spartacus,1168.86,5,0.17,2025-09-14
530,Tv0r9,1154.65,16,0.53,2025-11-03
531,GRRRGRRRGGHHRRRRGRRRRRRR,1135.66,6,0.2,2025-11-04
532,krd,1128.79,6,0.2,2025-10-14
533,Rikyyy,1124.61,8,0.27,2025-08-17
534,Blipkin,1108.71,17,0.57,2025-11-08
535,Calibur,1098.59,12,0.4,2025-11-05
536,smola_2005,1094.58,32,1.0,2025-11-07
537,t.lewis140,1084.07,10,0.33,2025-11-05
538,Jells,1083.25,14,0.47,2025-11-09
539,ＮＥＦＡＲＩＯＵＳ,1082.44,25,0.83,2025-10-03
540,onetimecharley,1074.9,9,0.3,2025-10-14
541,Lemonhammer,1074.1,7,0.23,2025-09-18
542,goatskvll,1072.33,10,0.33,2025-11-07
543,rudedawg,1063.59,37,1.0,2025-11-02
544,elegantmechanic,1062.49,14,0.47,2025-11-08
545,orutra621,1051.9,20,0.67,2025-09-22
546,JarJar,1051.05,28,0.93,2025-11-08
547,whazupbillion,1045.5,29,0.97,2025-10-31
548,fgmqueiros,1026.65,10,0.33,2025-11-05
549,BjornderBaer,1024.91,23,0.77,2025-11-09
550,wœire,1007.03,49,1.0,2025-10-31
551,yahasuri,1005.85,11,0.37,2025-11-05
552,[WGS-B] BK,997.07,38,1.0,2025-11-09
553,InFecTed,973.77,23,0.77,2025-10-03
554,flowerlady32,973.66,25,0.83,2025-11-01
555,stuffed wombat,967.9,30,1.0,2025-11-07
556,Коmар,939.04,14,0.47,2025-11-07
557,yaelsky96,924.52,11,0.37,2025-11-07
558,Sensei Snoops,918.15,41,1.0,2025-11-09
559,HZaninelli,911.22,54,1.0,2025-11-07
560,hrejarz2,900.25,49,1.0,2025-11-08
