active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2793.98,2126.99,76,1.0,2026-02-19,0,1.025,True
2,Jeeda Sensei,2756.24,2078.89,80,1.0,2026-02-19,0,1.025,True
,N Prime,2664.7,1986.09,27,0.9,2026-02-09,10,1.225,False
3,Quali,2628.68,1955.83,96,1.0,2026-02-19,0,1.025,True
4,S31gn3ur Chr3t13n,2591.74,1927.41,67,1.0,2026-02-19,0,1.025,True
5,luisarlen23,2567.37,1909.88,36,1.0,2026-02-19,0,1.225,True
6,camoutbussin,2474.34,1849.94,35,1.0,2026-02-19,0,1.025,True
7,Siker_7,2455.22,1838.76,47,1.0,2026-02-19,0,1.025,True
8,Skoops!,2454.83,1838.53,54,1.0,2026-02-19,0,1.025,True
,m.melkowski1,2393.12,1804.54,42,1.0,2026-01-02,48,1.05,False
,Blumpo Gripliskin,2328.46,1771.81,15,0.5,2026-01-23,27,1.025,False
,doniatka,2318.45,1766.97,30,1.0,2026-01-19,31,1.1,False
9,Xrenoid,2309.05,1762.48,55,1.0,2026-02-18,1,1.025,True
10,Skit,2241.91,1731.69,33,1.0,2026-02-18,1,1.025,True
,Conroy Milk,2219.41,1721.84,28,0.93,2026-02-07,12,1.025,False
,Zu,2205.16,1715.71,10,0.33,2025-11-28,83,1.1,False
11,btroitsk,2190.98,1709.69,40,1.0,2026-02-19,0,1.025,True
12,fmc91,2154.25,1694.47,21,0.7,2026-02-18,1,1.025,True
,austin_midd,2151.16,1693.21,16,0.53,2025-12-20,61,1.025,False
,Rubens,2146.0,1691.12,10,0.33,2025-12-09,72,1.025,False
,Mubirobiro [BR],2144.73,1690.6,14,0.47,2025-12-30,51,1.1,False
,yaelsky96,2104.65,1674.66,12,0.4,2026-02-10,9,1.025,False
13,Dreamweaver,2101.91,1673.59,53,1.0,2026-02-17,2,1.025,True
,Jhon Whisky,2089.43,1668.74,5,0.17,2026-01-13,37,1.25,False
14,gitm_4,2043.25,1651.21,17,0.57,2026-02-16,3,1.075,True
15,blankE,2023.6,1643.94,55,1.0,2026-02-19,0,1.05,True
,Reynauld,1957.79,1620.3,16,0.53,2026-02-08,11,1.2,False
,AGR_Inbound,1957.65,1620.25,6,0.2,2025-12-03,78,1.05,False
,Dan,1956.54,1619.86,13,0.43,2025-12-03,78,1.025,False
,ricardo_lbrugnago,1941.29,1614.54,4,0.13,2026-01-17,33,1.25,False
16,Laska,1926.11,1609.29,17,0.57,2026-02-19,0,1.025,True
,Covert Skeleton,1908.26,1603.19,11,0.37,2026-01-15,35,1.25,False
17,genevrier_ou,1899.91,1600.36,41,1.0,2026-02-19,0,1.025,True
,TheHunter222,1880.52,1593.85,24,0.8,2026-02-11,8,1.25,False
,Nocek,1878.11,1593.04,16,0.53,2025-12-10,71,1.1,False
18,tsromanow,1877.81,1592.94,31,1.0,2026-02-18,1,1.025,True
,masterv5983,1871.91,1590.98,42,1.0,2026-02-11,8,1.05,False
,Vadd,1840.83,1580.76,4,0.13,2025-12-05,76,1.2,False
19,maximeeepje,1824.91,1575.6,13,0.43,2026-02-15,4,1.125,True
,Madnukin,1818.93,1573.68,5,0.17,2026-01-30,20,1.25,False
,AniBunny,1789.1,1564.19,3,0.1,2026-02-09,10,1.075,False
,DIBRAS,1772.81,1559.07,6,0.2,2025-12-31,50,1.05,False
20,flowerlady32,1769.27,1557.97,13,0.43,2026-02-13,6,1.025,True
21,JarJar,1737.93,1548.3,42,1.0,2026-02-15,4,1.05,True
,Thanos,1735.59,1547.59,2,0.07,2025-12-28,53,1.025,False
,Booorman,1734.74,1547.33,8,0.27,2026-02-02,17,1.1,False
,mishaaku,1727.62,1545.16,4,0.13,2025-11-15,96,1.05,False
,greattwizzler,1723.34,1543.86,3,0.1,2025-12-03,78,1.025,False
,Proxy,1713.49,1540.89,1,0.03,2025-11-17,94,1.0,False
,Thursday,1712.31,1540.54,1,0.03,2025-11-10,101,1.0,False
,GeekDoesStuff,1707.95,1539.23,1,0.03,2025-11-24,87,1.0,False
,Masterspades,1707.13,1538.98,2,0.07,2025-11-26,85,1.25,False
,grahamthehuman,1702.21,1537.51,4,0.13,2025-11-27,84,1.05,False
,imnickio2,1697.77,1536.19,5,0.17,2025-12-12,69,1.25,False
,BekfastStealer,1697.3,1536.05,1,0.03,2025-11-17,94,1.0,False
,adresmarka,1694.01,1535.07,1,0.03,2025-12-30,51,1.0,False
,r3coil,1693.77,1535.0,2,0.07,2025-11-25,86,1.25,False
,Black_Stark,1691.11,1534.21,1,0.03,2025-11-16,95,1.0,False
,Robsje,1689.31,1533.67,1,0.03,2025-11-12,99,1.0,False
,headhuntman,1685.71,1532.61,1,0.03,2025-11-26,85,1.0,False
,Christian Kaiser,1684.62,1532.28,3,0.1,2026-02-09,10,1.075,False
,AxelKeyzer,1684.46,1532.24,1,0.03,2026-01-10,40,1.0,False
,Jannik,1684.18,1532.16,3,0.1,2025-11-15,96,1.075,False
,Ralf Schumacher,1681.69,1531.42,1,0.03,2026-01-09,41,1.0,False
,patrykelektryk,1681.41,1531.34,2,0.07,2026-01-09,41,1.175,False
,Gone dark.,1681.16,1531.27,1,0.03,2025-11-10,101,1.0,False
,seagull,1680.53,1531.08,1,0.03,2025-12-03,78,1.0,False
,Moody Blues,1679.38,1530.74,1,0.03,2026-02-12,7,1.0,False
,Ljinsta_SKOJ,1677.48,1530.18,2,0.07,2026-01-06,44,1.075,False
,semperpsychotic,1675.44,1529.58,6,0.2,2025-12-23,58,1.25,False
,Calyceus,1675.43,1529.58,1,0.03,2025-11-14,97,1.0,False
,horst-van-panzer,1673.88,1529.13,2,0.07,2025-11-27,84,1.075,False
,J.M.AVON,1672.09,1528.6,2,0.07,2025-11-14,97,1.05,False
,Augustin,1671.6,1528.46,2,0.07,2025-12-28,53,1.25,False
,Nando Rekel,1671.35,1528.39,1,0.03,2025-11-16,95,1.0,False
,HungryFred,1671.08,1528.3,1,0.03,2025-11-17,94,1.0,False
,Lycerker,1670.17,1528.04,1,0.03,2025-11-24,87,1.0,False
,Friendo,1668.99,1527.69,1,0.03,2025-11-22,89,1.0,False
,Zardon,1666.89,1527.08,1,0.03,2025-11-29,82,1.0,False
,demitype,1663.71,1526.15,1,0.03,2025-11-24,87,1.0,False
,micerang,1662.65,1525.84,1,0.03,2025-11-12,99,1.0,False
,deadsanta,1662.63,1525.84,1,0.03,2026-01-08,42,1.0,False
,Brontozaurul,1661.38,1525.47,1,0.03,2025-12-16,65,1.0,False
,Gynkou,1659.45,1524.91,1,0.03,2025-12-26,55,1.0,False
,AHoboWithASpork,1659.21,1524.85,5,0.17,2026-01-07,43,1.1,False
,AoG Chain,1656.96,1524.19,1,0.03,2025-11-11,100,1.0,False
,BigOak,1656.21,1523.97,11,0.37,2025-12-31,50,1.025,False
,TOBI,1655.93,1523.89,1,0.03,2025-11-30,81,1.0,False
,Scarmind.Italy,1653.35,1523.15,1,0.03,2025-12-16,65,1.0,False
,jin,1651.67,1522.66,2,0.07,2026-02-15,4,1.05,False
,Aracnideo,1650.84,1522.42,1,0.03,2026-01-06,44,1.0,False
,T1D,1647.07,1521.33,1,0.03,2025-11-11,100,1.0,False
,bertobrown10,1646.86,1521.27,1,0.03,2026-02-11,8,1.0,False
,cottleoscar,1646.36,1521.13,1,0.03,2025-11-22,89,1.0,False
,L@@-Yo$h,1646.26,1521.1,1,0.03,2025-11-13,98,1.0,False
,Moun Moun,1645.0,1520.74,1,0.03,2025-11-15,96,1.0,False
,Xinnzo,1643.92,1520.43,1,0.03,2025-11-16,95,1.0,False
,Bren4azer,1643.68,1520.36,1,0.03,2025-11-10,101,1.0,False
,cpapson2,1643.65,1520.35,1,0.03,2025-12-21,60,1.0,False
,Tiger_Ice,1643.06,1520.18,1,0.03,2025-12-26,55,1.0,False
