active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2780.36,2105.75,73,1.0,2026-02-16,0,1.025,True
2,Jeeda Sensei,2748.46,2067.05,77,1.0,2026-02-16,0,1.025,True
3,N Prime,2667.37,1986.09,27,0.9,2026-02-09,7,1.225,True
4,Quali,2641.17,1963.77,93,1.0,2026-02-16,0,1.025,True
5,S31gn3ur Chr3t13n,2620.94,1947.52,64,1.0,2026-02-16,0,1.025,True
6,luisarlen23,2561.87,1904.11,35,1.0,2026-02-10,6,1.075,True
7,camoutbussin,2453.7,1836.32,33,1.0,2026-02-16,0,1.25,True
8,Skoops!,2429.65,1822.81,52,1.0,2026-02-12,4,1.025,True
9,Siker_7,2384.91,1798.87,44,1.0,2026-02-16,0,1.025,True
10,Xrenoid,2373.28,1792.88,53,1.0,2026-02-15,1,1.05,True
11,Skit,2212.9,1718.09,31,1.0,2026-02-16,0,1.05,True
12,btroitsk,2168.45,1699.46,37,1.0,2026-02-16,0,1.25,True
13,yaelsky96,2106.46,1674.66,12,0.4,2026-02-10,6,1.025,True
14,fmc91,2078.86,1664.03,19,0.63,2026-02-16,0,1.025,True
15,gitm_4,2044.81,1651.21,17,0.57,2026-02-16,0,1.075,True
16,Dreamweaver,2036.32,1648.07,52,1.0,2026-02-16,0,1.025,True
17,blankE,2028.82,1645.31,53,1.0,2026-02-16,0,1.025,True
18,tsromanow,1890.69,1596.96,29,0.97,2026-02-14,2,1.025,True
19,TheHunter222,1881.35,1593.85,24,0.8,2026-02-11,5,1.25,True
20,masterv5983,1872.71,1590.98,42,1.0,2026-02-11,5,1.05,True
21,maximeeepje,1825.47,1575.6,13,0.43,2026-02-15,1,1.125,True
22,Laska,1819.84,1573.8,15,0.5,2026-02-11,5,1.1,True
23,genevrier_ou,1817.13,1572.94,38,1.0,2026-02-14,2,1.025,True
24,flowerlady32,1769.56,1557.97,13,0.43,2026-02-13,3,1.025,True
25,JarJar,1738.05,1548.3,42,1.0,2026-02-15,1,1.05,True
26,valtry,1584.42,1503.88,21,0.7,2026-02-15,1,1.05,True
27,Frango,1547.1,1493.81,25,0.83,2026-02-11,5,1.075,True
28,hrejarz2,1526.4,1488.36,29,0.97,2026-02-15,1,1.025,True
29,schmendrikson,1522.34,1487.3,26,0.87,2026-02-16,0,1.125,True
30,Mr_Aapies,1503.04,1482.32,26,0.87,2026-02-16,0,1.05,True
31,augustboyer198,1498.12,1480.79,9,0.3,2026-02-14,2,1.05,True
32,Draghmar 🐲,1470.24,1469.55,15,0.5,2026-02-16,0,1.025,True
33,Varravann,1464.1,1467.07,14,0.47,2026-02-09,7,1.075,True
34,Grimning,1442.53,1458.3,41,1.0,2026-02-16,0,1.025,True
35,Коmар,1430.17,1453.24,29,0.97,2026-02-15,1,1.025,True
36,Lovis,1413.19,1446.23,35,1.0,2026-02-16,0,1.1,True
37,Hirow,1376.78,1430.88,19,0.63,2026-02-16,0,1.125,True
38,Zap,1374.1,1429.73,17,0.57,2026-02-16,0,1.175,True
39,Pask74,1373.32,1429.4,12,0.4,2026-02-13,3,1.15,True
40,Seu Luis,1285.69,1389.29,7,0.23,2026-02-12,4,1.025,True
41,Delta.357,1285.48,1389.18,8,0.27,2026-02-14,2,1.25,True
42,jjjeffer78,1285.15,1389.01,26,0.87,2026-02-16,0,1.025,True
43,Halswein,1254.57,1373.38,18,0.6,2026-02-16,0,1.075,True
44,HZaninelli,1228.03,1358.77,12,0.4,2026-02-14,2,1.25,True
45,Bananahammockjoe,1226.41,1357.84,14,0.47,2026-02-15,1,1.05,True
46,slaaneshtgof,1208.86,1347.46,19,0.63,2026-02-11,5,1.125,True
47,DavidPrime83,1197.9,1340.65,15,0.5,2026-02-14,2,1.1,True
