active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2846.8,2144.04,126,1.0,2026-01-31,0,1.1,True
2,Jeeda Sensei,2767.96,2014.64,62,1.0,2026-01-31,0,1.025,True
3,N Prime,2763.65,2010.02,90,1.0,2026-01-31,0,1.175,True
,Zu,2720.73,1967.97,56,1.0,2025-11-28,64,1.1,False
4,Quali,2662.15,1919.31,160,1.0,2026-01-31,0,1.025,True
,soc.from.ub.kodao,2639.56,1902.57,63,1.0,2025-11-08,84,1.15,False
5,S31gn3ur Chr3t13n,2627.82,1894.24,121,1.0,2026-01-31,0,1.025,True
,Blumpo Gripliskin,2601.49,1876.37,70,1.0,2026-01-23,8,1.025,False
6,luisarlen23,2584.29,1865.25,29,0.97,2026-01-28,3,1.025,True
7,camoutbussin,2549.91,1844.19,44,1.0,2026-01-30,1,1.05,True
8,Skoops!,2547.9,1843.01,71,1.0,2026-01-30,1,1.025,True
,m.melkowski1,2523.56,1828.98,42,1.0,2026-01-02,29,1.05,False
9,Xrenoid,2483.02,1806.91,106,1.0,2026-01-31,0,1.075,True
10,Siker_7,2461.92,1796.0,36,1.0,2026-01-29,2,1.025,True
,Rubens,2448.64,1789.32,58,1.0,2025-12-09,53,1.025,False
,doniatka,2435.27,1782.72,30,1.0,2026-01-19,12,1.1,False
,Mubirobiro [BR],2412.48,1771.77,56,1.0,2025-12-30,32,1.1,False
11,btroitsk,2393.49,1762.9,97,1.0,2026-01-24,7,1.25,True
,austin_midd,2277.04,1712.95,17,0.57,2025-12-20,42,1.025,False
,Rosewood,2213.77,1688.39,48,1.0,2025-10-08,115,1.025,False
,Jhon Whisky,2190.67,1679.8,5,0.17,2026-01-13,18,1.25,False
,Covert Skeleton,2164.82,1670.4,60,1.0,2026-01-15,16,1.25,False
12,Dreamweaver,2156.19,1667.31,72,1.0,2026-01-31,0,1.025,True
,群傻搬象Sesquipedalianism,2148.28,1664.5,7,0.23,2025-08-13,171,1.025,False
13,Madnukin,2126.75,1656.95,23,0.77,2026-01-30,1,1.25,True
,Kozlak,2105.63,1649.66,35,1.0,2025-10-09,114,1.1,False
,ricardo_lbrugnago,2091.16,1644.74,10,0.33,2026-01-17,14,1.25,False
,Dan,2087.28,1643.43,13,0.43,2025-12-03,59,1.025,False
,Ghost,2083.13,1642.04,59,1.0,2025-10-19,104,1.175,False
14,Reynauld,2080.54,1641.17,15,0.5,2026-01-31,0,1.1,True
,jax,2066.78,1636.58,43,1.0,2025-11-03,89,1.1,False
15,Conroy Milk,2054.52,1632.54,22,0.73,2026-01-30,1,1.025,True
,AGR_Inbound,2051.88,1631.67,6,0.2,2025-12-03,59,1.05,False
16,maximeeepje,2051.71,1631.62,49,1.0,2026-01-31,0,1.225,True
17,TheHunter222,2047.51,1630.24,43,1.0,2026-01-31,0,1.125,True
,gitm_4,2020.07,1621.37,14,0.47,2026-01-16,15,1.05,False
,Nocek,1998.44,1614.5,16,0.53,2025-12-10,52,1.1,False
,elmrealm,1980.4,1608.84,37,1.0,2025-11-21,71,1.075,False
18,Miroko,1962.33,1603.25,23,0.77,2026-01-30,1,1.25,True
