active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2846.44,2141.19,125,1.0,2026-01-27,3,1.025,True
2,Jeeda Sensei,2767.63,2012.84,61,1.0,2026-01-30,0,1.025,True
3,N Prime,2754.69,1999.3,89,1.0,2026-01-24,6,1.1,True
4,Quali,2658.54,1915.41,159,1.0,2026-01-30,0,1.025,True
5,S31gn3ur Chr3t13n,2613.69,1883.45,120,1.0,2026-01-30,0,1.025,True
6,Blumpo Gripliskin,2603.07,1876.37,70,1.0,2026-01-23,7,1.025,True
7,luisarlen23,2585.88,1865.25,29,0.97,2026-01-28,2,1.025,True
8,camoutbussin,2551.51,1844.19,44,1.0,2026-01-30,0,1.05,True
9,Skoops!,2549.5,1843.01,71,1.0,2026-01-30,0,1.025,True
10,Xrenoid,2469.53,1799.08,105,1.0,2026-01-28,2,1.05,True
11,Siker_7,2463.51,1796.0,36,1.0,2026-01-29,1,1.025,True
12,btroitsk,2395.04,1762.9,97,1.0,2026-01-24,6,1.25,True
13,Dreamweaver,2134.77,1659.33,71,1.0,2026-01-30,0,1.025,True
14,Madnukin,2127.93,1656.95,23,0.77,2026-01-30,0,1.25,True
15,Conroy Milk,2055.56,1632.54,22,0.73,2026-01-30,0,1.025,True
16,Reynauld,2021.67,1621.57,14,0.47,2026-01-27,3,1.025,True
17,TheHunter222,2006.48,1616.74,42,1.0,2026-01-26,4,1.1,True
18,Miroko,1963.16,1603.25,23,0.77,2026-01-30,0,1.25,True
19,Skit,1907.26,1586.41,17,0.57,2026-01-29,1,1.025,True
20,genevrier_ou,1886.86,1580.42,27,0.9,2026-01-29,1,1.025,True
21,masterv5983,1839.64,1566.85,107,1.0,2026-01-30,0,1.125,True
22,Booorman,1798.68,1555.39,12,0.4,2026-01-29,1,1.075,True
23,blankE,1739.65,1539.38,89,1.0,2026-01-30,0,1.025,True
24,yaelsky96,1668.04,1520.73,20,0.67,2026-01-29,1,1.05,True
25,fmc91,1667.02,1520.48,7,0.23,2026-01-28,2,1.025,True
26,Frango,1656.32,1517.77,18,0.6,2026-01-28,2,1.025,True
27,ciga,1623.99,1509.7,46,1.0,2026-01-28,2,1.1,True
28,Коля Зман,1611.34,1506.59,18,0.6,2026-01-26,4,1.225,True
29,tsromanow,1565.88,1495.66,19,0.63,2026-01-28,2,1.1,True
30,hubby26,1554.38,1492.95,11,0.37,2026-01-25,5,1.15,True
31,Xial,1552.15,1492.43,8,0.27,2026-01-25,5,1.25,True
32,JarJar,1537.03,1488.92,61,1.0,2026-01-29,1,1.075,True
33,flowerlady32,1536.35,1488.77,32,1.0,2026-01-30,0,1.025,True
34,Jells,1533.19,1488.04,15,0.5,2026-01-29,1,1.25,True
35,schmendrikson,1518.61,1484.71,27,0.9,2026-01-30,0,1.05,True
36,Xunz,1421.63,1452.67,21,0.7,2026-01-28,2,1.025,True
37,WhiteNorth,1393.3,1442.33,8,0.27,2026-01-27,3,1.075,True
38,Lovis,1389.4,1440.88,30,1.0,2026-01-30,0,1.025,True
39,Delta.357,1365.72,1432.0,7,0.23,2026-01-23,7,1.075,True
40,Grimning,1363.66,1431.22,28,0.93,2026-01-30,0,1.025,True
41,valtry,1363.2,1431.04,9,0.3,2026-01-30,0,1.025,True
42,Коmар,1360.71,1430.09,36,1.0,2026-01-30,0,1.125,True
43,Varravann,1355.7,1428.17,18,0.6,2026-01-29,1,1.075,True
44,augustboyer198,1296.69,1404.46,12,0.4,2026-01-26,4,1.2,True
45,jamiebagley233,1280.87,1397.67,9,0.3,2026-01-26,4,1.075,True
46,Gonzalo,1275.23,1395.2,9,0.3,2026-01-29,1,1.25,True
47,Hirow,1273.34,1394.36,26,0.87,2026-01-27,3,1.05,True
48,DavidPrime83,1242.24,1380.02,7,0.23,2026-01-27,3,1.25,True
49,Mr_Aapies,1236.83,1377.4,15,0.5,2026-01-30,0,1.025,True
50,Pask74,1223.24,1370.64,8,0.27,2026-01-28,2,1.175,True
51,hrejarz2,1220.34,1369.16,73,1.0,2026-01-30,0,1.075,True
52,jjjeffer78,1213.76,1365.75,21,0.7,2026-01-30,0,1.025,True
53,HZaninelli,1201.91,1359.4,65,1.0,2026-01-26,4,1.05,True
54,Coyface,1159.16,1333.84,12,0.4,2026-01-30,0,1.025,True
55,benreichardt,1148.24,1326.44,11,0.37,2026-01-28,2,1.05,True
56,Hfmotta,1121.62,1306.28,16,0.53,2026-01-26,4,1.025,True
57,Halswein,1119.9,1304.86,10,0.33,2026-01-30,0,1.1,True
