active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2830.41,2116.69,133,1.0,2026-02-14,0,1.025,True
2,Jeeda Sensei,2807.46,2075.01,75,1.0,2026-02-14,0,1.025,True
3,N Prime,2763.24,2021.36,91,1.0,2026-02-09,5,1.225,True
4,S31gn3ur Chr3t13n,2717.15,1975.51,134,1.0,2026-02-14,0,1.025,True
5,Quali,2696.63,1957.29,174,1.0,2026-02-14,0,1.025,True
6,luisarlen23,2643.5,1914.86,35,1.0,2026-02-10,4,1.075,True
7,Skoops!,2512.51,1830.41,80,1.0,2026-02-12,2,1.025,True
8,Xrenoid,2458.28,1801.13,111,1.0,2026-02-13,1,1.025,True
9,Siker_7,2450.28,1797.01,44,1.0,2026-02-13,1,1.025,True
10,Conroy Milk,2294.68,1725.4,28,0.93,2026-02-07,7,1.025,True
11,Skit,2247.81,1706.31,30,1.0,2026-02-14,0,1.025,True
12,Dreamweaver,2135.8,1664.09,80,1.0,2026-02-12,2,1.025,True
13,gitm_4,2115.61,1656.92,16,0.53,2026-02-13,1,1.025,True
14,maximeeepje,2094.41,1649.51,50,1.0,2026-02-10,4,1.25,True
15,fmc91,2032.62,1628.62,17,0.57,2026-02-14,0,1.025,True
16,Reynauld,2023.13,1625.49,16,0.53,2026-02-08,6,1.2,True
17,TheHunter222,2017.7,1623.71,45,1.0,2026-02-11,3,1.25,True
18,blankE,2003.23,1619.01,102,1.0,2026-02-14,0,1.05,True
19,tsromanow,1941.5,1599.47,29,0.97,2026-02-14,0,1.025,True
20,masterv5983,1937.38,1598.19,111,1.0,2026-02-11,3,1.05,True
21,yaelsky96,1903.65,1587.88,23,0.77,2026-02-10,4,1.025,True
22,Laska,1892.07,1584.39,15,0.5,2026-02-11,3,1.1,True
23,genevrier_ou,1864.86,1576.29,38,1.0,2026-02-14,0,1.025,True
24,JarJar,1814.51,1561.67,69,1.0,2026-02-13,1,1.05,True
25,flowerlady32,1710.73,1532.92,38,1.0,2026-02-13,1,1.025,True
26,Barbaferro,1639.19,1514.18,36,1.0,2026-02-09,5,1.25,True
27,Frango,1568.7,1496.61,25,0.83,2026-02-11,3,1.075,True
28,valtry,1511.98,1483.16,20,0.67,2026-02-13,1,1.05,True
29,Zap,1486.13,1475.4,32,1.0,2026-02-09,5,1.25,True
30,augustboyer198,1484.18,1474.69,15,0.5,2026-02-14,0,1.05,True
31,Draghmar 🐲,1477.31,1472.2,13,0.43,2026-02-14,0,1.025,True
32,Lovis,1451.13,1462.69,34,1.0,2026-02-12,2,1.2,True
33,Varravann,1449.61,1462.14,24,0.8,2026-02-09,5,1.075,True
34,schmendrikson,1447.88,1461.51,34,1.0,2026-02-11,3,1.025,True
35,Hirow,1442.31,1459.47,29,0.97,2026-02-11,3,1.2,True
36,Mr_Aapies,1439.72,1458.52,25,0.83,2026-02-14,0,1.05,True
37,hrejarz2,1401.79,1444.45,77,1.0,2026-02-14,0,1.075,True
38,Коmар,1397.47,1442.82,42,1.0,2026-02-14,0,1.025,True
39,Grimning,1380.19,1436.25,39,1.0,2026-02-14,0,1.025,True
40,Pask74,1365.9,1430.73,12,0.4,2026-02-13,1,1.15,True
41,vyacheslavmurzagulov,1303.6,1405.4,8,0.27,2026-02-10,4,1.25,True
42,wally_punisher,1277.39,1393.91,7,0.23,2026-02-08,6,1.075,True
43,Seu Luis,1270.93,1390.97,7,0.23,2026-02-12,2,1.025,True
44,Delta.357,1269.86,1390.48,8,0.27,2026-02-14,0,1.25,True
45,BTsin,1258.64,1385.27,8,0.27,2026-02-10,4,1.175,True
46,Bananahammockjoe,1251.23,1381.74,14,0.47,2026-02-13,1,1.125,True
47,HZaninelli,1237.61,1375.08,66,1.0,2026-02-14,0,1.25,True
48,Halswein,1233.71,1373.12,17,0.57,2026-02-13,1,1.025,True
49,slaaneshtgof,1227.69,1370.06,35,1.0,2026-02-11,3,1.125,True
50,jjjeffer78,1197.76,1353.89,24,0.8,2026-02-13,1,1.075,True
51,DavidPrime83,1174.41,1339.95,15,0.5,2026-02-14,0,1.1,True
52,Lucyyyyy,1151.44,1324.71,13,0.43,2026-02-12,2,1.15,True
53,MorganMacabre,1147.15,1321.66,7,0.23,2026-02-08,6,1.075,True
