active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2841.5,2143.0,129,1.0,2026-02-10,0,1.025,True
2,Jeeda Sensei,2786.89,2047.61,71,1.0,2026-02-09,1,1.025,True
3,N Prime,2763.78,2021.36,91,1.0,2026-02-09,1,1.225,True
,Zu,2709.41,1967.97,56,1.0,2025-11-28,74,1.1,False
4,S31gn3ur Chr3t13n,2690.87,1951.87,130,1.0,2026-02-10,0,1.025,True
5,Quali,2676.06,1939.62,170,1.0,2026-02-10,0,1.025,True
6,luisarlen23,2641.98,1913.26,35,1.0,2026-02-10,0,1.075,True
,soc.from.ub.kodao,2627.25,1902.57,63,1.0,2025-11-08,94,1.15,False
,Blumpo Gripliskin,2588.89,1876.37,70,1.0,2026-01-23,18,1.025,False
7,Skoops!,2574.17,1866.89,78,1.0,2026-02-10,0,1.025,True
,camoutbussin,2537.05,1844.19,44,1.0,2026-01-30,11,1.05,False
,m.melkowski1,2510.63,1828.98,42,1.0,2026-01-02,39,1.05,False
8,Xrenoid,2463.51,1803.49,109,1.0,2026-02-09,1,1.1,True
9,Siker_7,2456.03,1799.62,41,1.0,2026-02-08,2,1.025,True
,Rubens,2435.71,1789.32,58,1.0,2025-12-09,63,1.025,False
,doniatka,2422.36,1782.72,30,1.0,2026-01-19,22,1.1,False
,Mubirobiro [BR],2399.64,1771.77,56,1.0,2025-12-30,42,1.1,False
,btroitsk,2345.83,1747.12,99,1.0,2026-02-02,8,1.025,False
10,Conroy Milk,2295.32,1725.4,28,0.93,2026-02-07,3,1.025,True
,austin_midd,2264.99,1712.95,17,0.57,2025-12-20,52,1.025,False
,Rosewood,2202.29,1688.39,48,1.0,2025-10-08,125,1.025,False
,Jhon Whisky,2179.43,1679.8,5,0.17,2026-01-13,28,1.25,False
11,Skit,2170.43,1676.47,27,0.9,2026-02-10,0,1.025,True
,Covert Skeleton,2153.86,1670.4,60,1.0,2026-01-15,26,1.25,False
,群傻搬象Sesquipedalianism,2137.52,1664.5,7,0.23,2025-08-13,181,1.025,False
12,Dreamweaver,2131.5,1662.35,78,1.0,2026-02-10,0,1.025,True
,Madnukin,2116.25,1656.95,23,0.77,2026-01-30,11,1.25,False
,Kozlak,2095.39,1649.66,35,1.0,2025-10-09,124,1.1,False
13,maximeeepje,2091.62,1648.36,50,1.0,2026-02-10,0,1.25,True
,ricardo_lbrugnago,2081.1,1644.74,10,0.33,2026-01-17,24,1.25,False
,Dan,2077.27,1643.43,13,0.43,2025-12-03,69,1.025,False
,Ghost,2073.17,1642.04,59,1.0,2025-10-19,114,1.175,False
,jax,2057.04,1636.58,43,1.0,2025-11-03,99,1.1,False
,AGR_Inbound,2042.34,1631.67,6,0.2,2025-12-03,69,1.05,False
14,Reynauld,2023.61,1625.49,16,0.53,2026-02-08,2,1.2,True
,gitm_4,2010.98,1621.37,14,0.47,2026-01-16,25,1.05,False
,Nocek,1989.67,1614.5,16,0.53,2025-12-10,62,1.1,False
,elmrealm,1971.89,1608.84,37,1.0,2025-11-21,81,1.075,False
15,blankE,1965.03,1606.68,99,1.0,2026-02-10,0,1.025,True
,TheHunter222,1959.01,1604.79,44,1.0,2026-02-01,9,1.025,False
16,fmc91,1954.8,1603.47,14,0.47,2026-02-10,0,1.05,True
,Miroko,1954.09,1603.25,23,0.77,2026-01-30,11,1.25,False
17,tsromanow,1909.95,1589.67,26,0.87,2026-02-10,0,1.05,True
,Vadd,1909.92,1589.65,4,0.13,2025-12-05,67,1.2,False
,Spirit,1903.94,1587.85,6,0.2,2025-10-08,125,1.05,False
18,yaelsky96,1900.21,1586.72,23,0.77,2026-02-10,0,1.025,True
,Dopamine,1895.97,1585.44,9,0.3,2025-08-16,178,1.075,False
,Hakon,1876.91,1579.75,14,0.47,2025-09-11,152,1.025,False
,Alvarin,1859.27,1574.54,66,1.0,2025-12-12,60,1.25,False
,Sigmar Male,1859.07,1574.48,7,0.23,2025-10-29,104,1.25,False
19,masterv5983,1858.42,1574.29,110,1.0,2026-02-09,1,1.025,True
,Ernesto Quesidala Bombo,1845.18,1570.42,4,0.13,2025-08-05,189,1.025,False
,DIBRAS,1830.04,1566.03,6,0.2,2025-12-31,41,1.05,False
,Madok,1826.09,1564.89,10,0.33,2025-12-25,47,1.25,False
,AniBunny,1823.07,1564.03,3,0.1,2026-02-09,1,1.075,False
20,Laska,1815.38,1561.82,14,0.47,2026-02-07,3,1.25,True
,ClownAunt,1812.83,1561.1,5,0.17,2025-08-01,193,1.05,False
,mishaaku,1810.21,1560.35,4,0.13,2025-11-15,87,1.05,False
,kaltepfote,1809.14,1560.04,32,1.0,2025-10-19,114,1.125,False
,imnickio2,1803.96,1558.57,5,0.17,2025-12-12,60,1.25,False
