active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2840.98,2146.94,138,1.0,2026-02-19,1,1.025,True
2,Jeeda Sensei,2816.43,2093.66,81,1.0,2026-02-20,0,1.025,True
3,Quali,2707.03,1969.75,180,1.0,2026-02-20,0,1.025,True
4,S31gn3ur Chr3t13n,2680.86,1947.26,140,1.0,2026-02-20,0,1.025,True
5,luisarlen23,2646.89,1920.43,36,1.0,2026-02-19,1,1.225,True
6,camoutbussin,2573.25,1869.41,47,1.0,2026-02-19,1,1.025,True
7,Skoops!,2542.8,1850.56,83,1.0,2026-02-20,0,1.025,True
8,Siker_7,2537.3,1847.27,49,1.0,2026-02-19,1,1.025,True
9,Xrenoid,2402.22,1775.35,114,1.0,2026-02-18,2,1.025,True
10,Skit,2330.48,1742.47,34,1.0,2026-02-20,0,1.05,True
11,btroitsk,2311.83,1734.39,103,1.0,2026-02-19,1,1.025,True
12,Dreamweaver,2218.74,1696.41,84,1.0,2026-02-20,0,1.075,True
13,fmc91,2217.0,1695.74,21,0.7,2026-02-18,2,1.025,True
14,gitm_4,2115.54,1658.11,17,0.57,2026-02-16,4,1.075,True
15,maximeeepje,2099.59,1652.49,51,1.0,2026-02-15,5,1.125,True
16,blankE,2089.44,1648.95,107,1.0,2026-02-20,0,1.025,True
17,Laska,1999.93,1618.9,17,0.57,2026-02-19,1,1.025,True
18,tsromanow,1970.68,1609.49,32,1.0,2026-02-20,0,1.05,True
19,genevrier_ou,1954.13,1604.25,42,1.0,2026-02-20,0,1.025,True
20,JarJar,1788.27,1554.74,70,1.0,2026-02-15,5,1.05,True
21,Barbaferro,1741.52,1541.68,37,1.0,2026-02-15,5,1.15,True
22,flowerlady32,1709.37,1532.92,38,1.0,2026-02-13,7,1.025,True
23,Grimning,1607.01,1506.22,44,1.0,2026-02-19,1,1.025,True
24,Draghmar 🐲,1562.27,1495.15,17,0.57,2026-02-19,1,1.025,True
25,valtry,1504.88,1481.54,24,0.8,2026-02-20,0,1.025,True
26,schmendrikson,1501.29,1480.71,35,1.0,2026-02-16,4,1.125,True
27,augustboyer198,1484.29,1474.69,15,0.5,2026-02-14,6,1.05,True
28,hrejarz2,1482.62,1474.08,78,1.0,2026-02-15,5,1.025,True
29,Lovis,1472.71,1470.47,36,1.0,2026-02-18,2,1.05,True
30,Коmар,1442.37,1459.34,44,1.0,2026-02-19,1,1.1,True
31,InFecTed,1423.03,1452.18,25,0.83,2026-02-20,0,1.025,True
32,Mr_Aapies,1417.85,1450.24,28,0.93,2026-02-19,1,1.025,True
33,Zap,1404.09,1445.07,35,1.0,2026-02-19,1,1.025,True
34,Hirow,1357.05,1426.9,30,1.0,2026-02-16,4,1.125,True
35,Halswein,1317.55,1410.81,20,0.67,2026-02-20,0,1.075,True
36,Kola Koala,1308.61,1407.03,10,0.33,2026-02-20,0,1.25,True
37,Pask74,1290.27,1399.07,13,0.43,2026-02-17,3,1.1,True
38,jjjeffer78,1271.49,1390.61,26,0.87,2026-02-16,4,1.025,True
39,Delta.357,1271.21,1390.48,8,0.27,2026-02-14,6,1.25,True
40,PrettyKitty1999,1261.74,1386.07,7,0.23,2026-02-20,0,1.05,True
41,HZaninelli,1239.07,1375.08,66,1.0,2026-02-14,6,1.25,True
42,Lucyyyyy,1202.59,1355.76,15,0.5,2026-02-20,0,1.075,True
43,Bananahammockjoe,1200.13,1354.36,15,0.5,2026-02-15,5,1.05,True
44,Mequiadore,1190.86,1349.0,7,0.23,2026-02-17,3,1.075,True
45,DavidPrime83,1165.15,1332.99,18,0.6,2026-02-20,0,1.025,True
46,dead_bob,1120.06,1299.2,9,0.3,2026-02-20,0,1.075,True
47,benreichardt,1109.67,1289.89,15,0.5,2026-02-20,0,1.25,True
