active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2846.8,2144.04,126,1.0,2026-01-31,0,1.1,True
2,Jeeda Sensei,2767.96,2014.64,62,1.0,2026-01-31,0,1.025,True
3,N Prime,2763.65,2010.02,90,1.0,2026-01-31,0,1.175,True
4,Quali,2662.15,1919.31,160,1.0,2026-01-31,0,1.025,True
5,S31gn3ur Chr3t13n,2627.82,1894.24,121,1.0,2026-01-31,0,1.025,True
6,luisarlen23,2584.29,1865.25,29,0.97,2026-01-28,3,1.025,True
7,camoutbussin,2549.91,1844.19,44,1.0,2026-01-30,1,1.05,True
8,Skoops!,2547.9,1843.01,71,1.0,2026-01-30,1,1.025,True
9,Xrenoid,2483.02,1806.91,106,1.0,2026-01-31,0,1.075,True
10,Siker_7,2461.92,1796.0,36,1.0,2026-01-29,2,1.025,True
11,btroitsk,2393.49,1762.9,97,1.0,2026-01-24,7,1.25,True
12,Dreamweaver,2156.19,1667.31,72,1.0,2026-01-31,0,1.025,True
13,Madnukin,2126.75,1656.95,23,0.77,2026-01-30,1,1.25,True
14,Reynauld,2080.54,1641.17,15,0.5,2026-01-31,0,1.1,True
15,Conroy Milk,2054.52,1632.54,22,0.73,2026-01-30,1,1.025,True
16,maximeeepje,2051.71,1631.62,49,1.0,2026-01-31,0,1.225,True
17,TheHunter222,2047.51,1630.24,43,1.0,2026-01-31,0,1.125,True
18,Miroko,1962.33,1603.25,23,0.77,2026-01-30,1,1.25,True
19,Skit,1942.73,1597.26,18,0.6,2026-01-31,0,1.05,True
20,genevrier_ou,1892.36,1582.23,28,0.93,2026-01-31,0,1.05,True
21,masterv5983,1839.11,1566.85,107,1.0,2026-01-30,1,1.125,True
22,Booorman,1798.25,1555.39,12,0.4,2026-01-29,2,1.075,True
23,blankE,1794.65,1554.39,90,1.0,2026-01-31,0,1.025,True
24,yaelsky96,1667.96,1520.73,20,0.67,2026-01-29,2,1.05,True
25,fmc91,1666.95,1520.48,7,0.23,2026-01-28,3,1.025,True
26,Frango,1632.26,1511.74,19,0.63,2026-01-31,0,1.075,True
27,ciga,1624.04,1509.7,46,1.0,2026-01-28,3,1.1,True
28,Liz,1620.32,1508.78,24,0.8,2026-01-31,0,1.25,True
29,Коля Зман,1611.43,1506.59,18,0.6,2026-01-26,5,1.225,True
30,tsromanow,1571.08,1496.84,20,0.67,2026-01-31,0,1.075,True
31,hubby26,1554.64,1492.95,11,0.37,2026-01-25,6,1.15,True
32,Xial,1552.42,1492.43,8,0.27,2026-01-25,6,1.25,True
33,JarJar,1537.35,1488.92,61,1.0,2026-01-29,2,1.075,True
34,Jells,1533.51,1488.04,15,0.5,2026-01-29,2,1.25,True
35,flowerlady32,1482.57,1474.26,33,1.0,2026-01-31,0,1.025,True
36,schmendrikson,1445.21,1460.98,28,0.93,2026-01-31,0,1.025,True
37,Grimning,1444.13,1460.6,29,0.97,2026-01-31,0,1.025,True
38,Xunz,1422.12,1452.67,21,0.7,2026-01-28,3,1.025,True
39,WhiteNorth,1393.86,1442.33,8,0.27,2026-01-27,4,1.075,True
40,Lovis,1389.96,1440.88,30,1.0,2026-01-30,1,1.025,True
41,Коmар,1361.34,1430.09,36,1.0,2026-01-30,1,1.125,True
42,valtry,1358.08,1428.84,10,0.33,2026-01-31,0,1.025,True
43,augustboyer198,1297.44,1404.46,12,0.4,2026-01-26,5,1.2,True
44,Varravann,1289.89,1401.25,19,0.63,2026-01-31,0,1.05,True
45,jamiebagley233,1281.64,1397.67,9,0.3,2026-01-26,5,1.075,True
46,Gonzalo,1276.01,1395.2,9,0.3,2026-01-29,2,1.25,True
47,Hirow,1274.12,1394.36,26,0.87,2026-01-27,4,1.05,True
48,Mr_Aapies,1237.63,1377.4,15,0.5,2026-01-30,1,1.025,True
49,Pask74,1224.05,1370.64,8,0.27,2026-01-28,3,1.175,True
50,hrejarz2,1221.15,1369.16,73,1.0,2026-01-30,1,1.075,True
51,jjjeffer78,1214.57,1365.75,21,0.7,2026-01-30,1,1.025,True
52,HZaninelli,1202.72,1359.4,65,1.0,2026-01-26,5,1.05,True
53,DavidPrime83,1190.16,1352.37,8,0.27,2026-01-31,0,1.1,True
54,Coyface,1159.95,1333.84,12,0.4,2026-01-30,1,1.025,True
55,benreichardt,1149.02,1326.44,11,0.37,2026-01-28,3,1.05,True
56,Hfmotta,1139.18,1319.39,17,0.57,2026-01-31,0,1.125,True
57,Halswein,1120.62,1304.86,10,0.33,2026-01-30,1,1.1,True
