active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2790.89,2122.82,68,1.0,2026-02-11,0,1.025,True
2,Jeeda Sensei,2724.29,2043.33,72,1.0,2026-02-10,1,1.025,True
3,N Prime,2664.73,1986.09,27,0.9,2026-02-09,2,1.225,True
4,S31gn3ur Chr3t13n,2619.05,1948.14,59,1.0,2026-02-11,0,1.025,True
5,Quali,2595.87,1930.41,88,1.0,2026-02-11,0,1.025,True
6,luisarlen23,2559.21,1904.11,35,1.0,2026-02-10,1,1.075,True
7,Skoops!,2482.56,1854.74,51,1.0,2026-02-11,0,1.025,True
8,Siker_7,2398.28,1807.13,40,1.0,2026-02-11,0,1.075,True
9,Xrenoid,2361.38,1787.98,50,1.0,2026-02-09,2,1.1,True
10,Conroy Milk,2219.88,1721.84,28,0.93,2026-02-07,4,1.025,True
11,Skit,2111.14,1676.97,27,0.9,2026-02-10,1,1.025,True
12,yaelsky96,2105.25,1674.66,12,0.4,2026-02-10,1,1.025,True
13,Dreamweaver,2078.36,1664.24,49,1.0,2026-02-11,0,1.025,True
14,Reynauld,1958.57,1620.3,16,0.53,2026-02-08,3,1.2,True
15,fmc91,1910.39,1603.63,14,0.47,2026-02-10,1,1.05,True
16,TheHunter222,1881.39,1593.85,24,0.8,2026-02-11,0,1.25,True
17,masterv5983,1872.8,1590.98,42,1.0,2026-02-11,0,1.05,True
18,blankE,1846.63,1582.35,49,1.0,2026-02-11,0,1.025,True
19,Laska,1820.25,1573.8,15,0.5,2026-02-11,0,1.1,True
20,genevrier_ou,1797.98,1566.68,35,1.0,2026-02-11,0,1.025,True
21,maximeeepje,1786.38,1563.02,12,0.4,2026-02-10,1,1.25,True
22,tsromanow,1762.12,1555.43,27,0.9,2026-02-11,0,1.025,True
23,flowerlady32,1733.46,1546.62,11,0.37,2026-02-10,1,1.075,True
24,JarJar,1693.26,1534.51,40,1.0,2026-02-11,0,1.05,True
25,bullzebub,1602.41,1508.32,15,0.5,2026-02-06,5,1.25,True
26,Frango,1549.39,1493.81,25,0.83,2026-02-11,0,1.075,True
27,Коmар,1544.77,1492.57,26,0.87,2026-02-08,3,1.025,True
28,valtry,1478.37,1472.09,19,0.63,2026-02-11,0,1.025,True
29,Varravann,1465.99,1467.07,14,0.47,2026-02-09,2,1.075,True
30,schmendrikson,1462.95,1465.82,25,0.83,2026-02-11,0,1.025,True
31,Hirow,1458.4,1463.97,18,0.6,2026-02-11,0,1.2,True
32,Zap,1434.25,1454.07,16,0.53,2026-02-09,2,1.25,True
33,Grimning,1431.11,1452.78,36,1.0,2026-02-10,1,1.05,True
34,Lovis,1424.63,1450.09,33,1.0,2026-02-04,7,1.025,True
35,Dangil Sparda,1398.22,1439.05,7,0.23,2026-02-05,6,1.25,True
36,augustboyer198,1391.75,1436.3,7,0.23,2026-02-04,7,1.225,True
37,Draghmar 🐲,1380.85,1431.64,10,0.33,2026-02-11,0,1.05,True
38,Pask74,1362.16,1423.54,11,0.37,2026-02-07,4,1.025,True
39,hrejarz2,1361.34,1423.18,27,0.9,2026-02-11,0,1.075,True
40,Mr_Aapies,1327.65,1408.06,23,0.77,2026-02-09,2,1.025,True
41,wally_punisher,1286.82,1388.6,7,0.23,2026-02-08,3,1.075,True
42,Bananahammockjoe,1266.36,1378.24,12,0.4,2026-02-08,3,1.025,True
43,Kola Koala,1256.91,1373.29,9,0.3,2026-02-04,7,1.25,True
44,jamiebagley233,1249.2,1369.16,10,0.33,2026-02-06,5,1.25,True
45,Halswein,1240.29,1364.27,15,0.5,2026-02-10,1,1.075,True
46,DavidPrime83,1212.61,1348.26,14,0.47,2026-02-10,1,1.05,True
47,slaaneshtgof,1211.3,1347.46,19,0.63,2026-02-11,0,1.125,True
48,jjjeffer78,1183.62,1329.74,23,0.77,2026-02-10,1,1.175,True
49,MorganMacabre,1169.46,1319.88,7,0.23,2026-02-08,3,1.075,True
50,benreichardt,1134.39,1292.2,14,0.47,2026-02-05,6,1.025,True
51,Hfmotta,1132.1,1290.19,18,0.6,2026-02-04,7,1.1,True
