active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2802.44,2116.18,63,1.0,2026-01-27,3,1.025,True
2,Jeeda Sensei,2696.12,1996.24,61,1.0,2026-01-30,0,1.025,True
3,N Prime,2652.07,1957.82,25,0.83,2026-01-24,6,1.1,True
4,Quali,2574.52,1899.7,76,1.0,2026-01-30,0,1.025,True
5,S31gn3ur Chr3t13n,2528.53,1869.5,48,1.0,2026-01-30,0,1.025,True
6,luisarlen23,2499.22,1851.55,29,0.97,2026-01-28,2,1.025,True
7,Skoops!,2469.51,1834.24,43,1.0,2026-01-30,0,1.025,True
8,camoutbussin,2447.86,1822.13,32,1.0,2026-01-30,0,1.05,True
9,Siker_7,2373.99,1783.57,34,1.0,2026-01-29,1,1.025,True
10,Xrenoid,2369.1,1781.16,46,1.0,2026-01-28,2,1.05,True
11,Blumpo Gripliskin,2349.93,1771.81,15,0.5,2026-01-23,7,1.025,True
12,btroitsk,2245.85,1724.58,34,1.0,2026-01-24,6,1.25,True
13,Dreamweaver,2050.73,1647.95,41,1.0,2026-01-30,0,1.025,True
14,yaelsky96,1993.28,1627.59,9,0.3,2026-01-29,1,1.05,True
15,Conroy Milk,1992.29,1627.24,22,0.73,2026-01-30,0,1.025,True
16,Reynauld,1960.02,1616.17,14,0.47,2026-01-27,3,1.025,True
17,Skit,1859.5,1583.17,17,0.57,2026-01-29,1,1.025,True
18,TheHunter222,1846.97,1579.2,21,0.7,2026-01-26,4,1.1,True
19,genevrier_ou,1831.67,1574.4,27,0.9,2026-01-29,1,1.025,True
20,Booorman,1801.83,1565.16,7,0.23,2026-01-29,1,1.075,True
21,masterv5983,1773.36,1556.51,38,1.0,2026-01-30,0,1.125,True
22,blankE,1686.12,1530.92,38,1.0,2026-01-30,0,1.025,True
23,flowerlady32,1667.5,1525.64,7,0.23,2026-01-30,0,1.025,True
24,fmc91,1640.52,1518.11,7,0.23,2026-01-28,2,1.025,True
25,Frango,1621.31,1512.83,18,0.6,2026-01-28,2,1.025,True
26,ciga,1577.79,1501.14,36,1.0,2026-01-28,2,1.1,True
27,Коля Зман,1576.44,1500.78,18,0.6,2026-01-26,4,1.225,True
28,tsromanow,1530.91,1488.98,19,0.63,2026-01-28,2,1.1,True
29,schmendrikson,1522.73,1486.91,18,0.6,2026-01-30,0,1.05,True
30,Xial,1506.57,1482.86,8,0.27,2026-01-25,5,1.25,True
31,hubby26,1500.0,1481.23,11,0.37,2026-01-25,5,1.15,True
32,JarJar,1487.29,1476.27,33,1.0,2026-01-29,1,1.075,True
33,Коmар,1430.48,1453.9,22,0.73,2026-01-30,0,1.125,True
34,Xunz,1412.05,1446.51,21,0.7,2026-01-28,2,1.025,True
35,WhiteNorth,1393.8,1439.1,8,0.27,2026-01-27,3,1.075,True
36,Varravann,1385.89,1435.86,8,0.27,2026-01-29,1,1.075,True
37,Lovis,1385.65,1435.76,30,1.0,2026-01-30,0,1.025,True
38,Delta.357,1370.95,1429.65,7,0.23,2026-01-23,7,1.075,True
39,valtry,1370.59,1429.5,9,0.3,2026-01-30,0,1.025,True
40,Grimning,1367.58,1428.24,28,0.93,2026-01-30,0,1.025,True
41,Hirow,1303.54,1400.12,15,0.5,2026-01-27,3,1.05,True
42,jamiebagley233,1285.18,1391.49,9,0.3,2026-01-26,4,1.075,True
43,DavidPrime83,1258.42,1378.28,7,0.23,2026-01-27,3,1.25,True
44,Mr_Aapies,1252.55,1375.26,15,0.5,2026-01-30,0,1.025,True
45,hrejarz2,1247.22,1372.48,24,0.8,2026-01-30,0,1.075,True
46,Pask74,1238.27,1367.73,8,0.27,2026-01-28,2,1.175,True
47,jjjeffer78,1228.43,1362.36,21,0.7,2026-01-30,0,1.025,True
48,HZaninelli,1188.55,1338.7,11,0.37,2026-01-26,4,1.05,True
49,Coyface,1184.72,1336.23,10,0.33,2026-01-30,0,1.025,True
50,benreichardt,1165.35,1323.12,11,0.37,2026-01-28,2,1.05,True
51,Hfmotta,1138.19,1302.47,16,0.53,2026-01-26,4,1.025,True
52,Halswein,1137.57,1301.96,10,0.33,2026-01-30,0,1.1,True
