player1,player2,total_encounters,p1_wins,p2_wins,p1_avg_rank,p2_avg_rank,avg_combined_rank,closeness,elite_score
Jells,Quali,15,3,12,18.8,11.47,15.13,0.2759,0.99
Jells,Rosewood,10,1,9,22.9,13.2,18.05,0.1429,0.55
Jells,S31gn3ur Chr3t13n,13,2,11,19.15,11.0,15.08,0.2122,0.86
Jells,Skoops!,8,0,8,23.75,12.12,17.94,0.0,0.45
Jells,Xrenoid,8,1,7,19.62,12.25,15.94,0.1923,0.5
Jells,Yngvi,7,2,5,24.0,15.43,19.71,0.4969,0.36
Jells,btroitsk,10,3,7,19.2,12.6,15.9,0.5,0.63
Jells,soc.from.ub.kodao,12,0,12,21.67,6.08,13.88,0.0,0.86
Jells,ＮＥＦＡＲＩＯＵＳ,8,2,6,23.25,15.62,19.44,0.4167,0.41
Kozlak,Xrenoid,25,9,16,13.48,9.04,11.26,0.5333,2.22
Kozlak,btroitsk,24,15,9,11.42,10.54,10.98,0.5769,2.19
Kozlak,elmrealm,11,9,2,9.27,16.09,12.68,0.2694,0.87
Kozlak,ＮＥＦＡＲＩＯＵＳ,13,7,6,15.54,17.92,16.73,0.8791,0.78
N Prime,elmrealm,24,18,6,6.92,12.62,9.77,0.3125,2.46
Quali,elmrealm,27,19,8,10.59,15.26,12.93,0.3823,2.09
S31gn3ur Chr3t13n,elmrealm,30,22,8,9.67,13.63,11.65,0.3137,2.58
S31gn3ur Chr3t13n,ＮＥＦＡＲＩＯＵＳ,21,16,5,10.43,17.81,14.12,0.3072,1.49
Sensei Snoops,elmrealm,12,3,9,22.08,15.33,18.71,0.3846,0.64
Yngvi,elmrealm,7,7,0,11.29,15.86,13.57,0.0,0.52
Yngvi,ＮＥＦＡＲＩＯＵＳ,9,5,4,14.33,15.11,14.72,0.8466,0.61
btroitsk,elmrealm,28,14,14,12.0,13.75,12.88,1.0,2.17
btroitsk,ＮＥＦＡＲＩＯＵＳ,15,13,2,9.47,17.4,13.43,0.172,1.12
elmrealm,soc.from.ub.kodao,23,2,21,13.74,5.91,9.83,0.0892,2.34
soc.from.ub.kodao,ＮＥＦＡＲＩＯＵＳ,21,17,4,6.81,17.86,12.33,0.2309,1.7
Blumpo Gripliskin,[WGS-B] BK,18,15,3,6.33,17.61,11.97,0.2083,1.5
Blumpo Gripliskin,Коmар,7,7,0,6.43,21.0,13.71,0.0,0.51
Ghost,[WGS-B] BK,20,15,5,12.65,18.9,15.77,0.3333,1.27
HZaninelli,Kozlak,14,5,9,18.86,14.29,16.57,0.5952,0.84
HZaninelli,S31gn3ur Chr3t13n,40,7,33,19.45,9.8,14.62,0.1522,2.74
HZaninelli,Yngvi,9,3,6,20.78,16.67,18.72,0.5797,0.48
HZaninelli,jax,24,11,13,16.62,15.29,15.96,0.8333,1.5
HZaninelli,soc.from.ub.kodao,31,3,28,18.55,6.19,12.37,0.086,2.51
Kozlak,[WGS-B] BK,13,7,6,14.23,17.69,15.96,0.8791,0.81
Kozlak,jax,17,12,5,12.76,19.18,15.97,0.4357,1.06
Rosewood,[WGS-B] BK,14,10,4,13.86,19.21,16.54,0.4396,0.85
Rosewood,seagull,7,7,0,9.57,20.57,15.07,0.0,0.46
S31gn3ur Chr3t13n,[WGS-B] BK,39,31,8,10.64,18.72,14.68,0.1908,2.66
S31gn3ur Chr3t13n,jax,33,24,9,10.85,16.18,13.52,0.3117,2.44
S31gn3ur Chr3t13n,Коmар,24,23,1,7.33,19.0,13.17,0.0397,1.82
Skoops!,[WGS-B] BK,10,9,1,9.0,21.7,15.35,0.1429,0.65
Xrenoid,[WGS-B] BK,21,16,5,11.33,18.43,14.88,0.3072,1.41
Yngvi,[WGS-B] BK,7,6,1,14.14,19.71,16.93,0.2286,0.41
[WGS-B] BK,jax,18,5,13,19.17,16.39,17.78,0.3968,1.01
[WGS-B] BK,maximeeepje,9,2,7,19.67,10.67,15.17,0.3556,0.59
[WGS-B] BK,ppr74,13,4,9,17.54,11.77,14.65,0.4923,0.89
[WGS-B] BK,smola_2005,13,4,9,21.31,15.92,18.62,0.4923,0.7
[WGS-B] BK,soc.from.ub.kodao,25,4,21,16.92,5.96,11.44,0.173,2.19
[WGS-B] BK,wœire,21,12,9,16.57,17.71,17.14,0.7453,1.22
hrejarz2,smola_2005,15,7,8,20.47,17.8,19.13,0.8889,0.78
seagull,soc.from.ub.kodao,7,1,6,19.86,7.0,13.43,0.2286,0.52
Alvarin,Kozlak,19,5,14,16.89,13.32,15.11,0.363,1.26
Alvarin,Rubens,34,11,23,14.06,9.21,11.63,0.4044,2.92
Bidderlyn,Rubens,31,20,11,7.58,9.26,8.42,0.4894,3.68
BjornderBaer,Covert Skeleton,11,4,7,20.91,18.45,19.68,0.6324,0.56
BjornderBaer,Rubens,11,1,10,18.18,8.45,13.32,0.1254,0.83
BjornderBaer,hrejarz2,11,5,6,18.73,19.36,19.05,0.8658,0.58
BjornderBaer,wœire,10,8,2,17.2,19.1,18.15,0.3077,0.55
Blumpo Gripliskin,Rubens,22,13,9,5.95,8.73,7.34,0.6818,3.0
Covert Skeleton,Kozlak,16,7,9,13.62,13.88,13.75,0.7955,1.16
Covert Skeleton,Rubens,28,9,19,12.82,9.39,11.11,0.4286,2.52
Covert Skeleton,TheDimedroll,7,2,5,14.14,12.71,13.43,0.4969,0.52
Covert Skeleton,soc.from.ub.kodao,32,4,28,14.53,5.69,10.11,0.1136,3.17
Dreamweaver,Rubens,16,7,9,13.25,10.25,11.75,0.7955,1.36
Dreamweaver,flowerlady32,9,6,3,12.0,16.44,14.22,0.5797,0.63
Ghost,Rubens,25,11,14,12.24,9.88,11.06,0.7652,2.26
Kozlak,Rubens,17,8,9,12.0,11.41,11.71,0.8964,1.45
Kozlak,flowerlady32,11,7,4,16.55,19.64,18.09,0.6324,0.61
N Prime,Rubens,28,20,8,6.11,8.04,7.07,0.3571,3.96
Rosewood,Rubens,24,9,15,11.75,8.71,10.23,0.5769,2.35
Rubens,Skoops!,11,7,4,10.36,13.27,11.82,0.6324,0.93
Rubens,Xrenoid,34,19,15,9.26,9.71,9.49,0.7353,3.58
Rubens,btroitsk,37,18,19,9.97,9.78,9.88,0.9266,3.75
Rubens,flowerlady32,13,10,3,9.23,17.92,13.58,0.3419,0.96
Rubens,hrejarz2,24,21,3,9.33,21.75,15.54,0.1316,1.54
Rubens,ppr74,14,10,4,12.14,15.71,13.93,0.4396,1.01
Rubens,soc.from.ub.kodao,34,8,26,8.38,4.21,6.29,0.2477,5.4
Rubens,wœire,21,18,3,9.67,18.67,14.17,0.1633,1.48
Rubens,Коmар,10,9,1,10.2,20.9,15.55,0.1429,0.64
TheDimedroll,hrejarz2,7,5,2,13.86,20.43,17.14,0.4969,0.41
flowerlady32,hrejarz2,15,9,6,17.0,20.87,18.93,0.6957,0.79
flowerlady32,wœire,12,4,8,21.58,18.17,19.88,0.5556,0.6
flowerlady32,Коmар,7,4,3,16.29,19.71,18.0,0.8163,0.39
Alvarin,JarJar,22,12,10,14.05,16.82,15.43,0.8264,1.43
Alvarin,rudedawg,22,14,8,13.68,16.77,15.23,0.5594,1.44
Bidderlyn,JarJar,44,41,3,4.77,18.18,11.48,0.047,3.83
Bidderlyn,rudedawg,28,21,7,8.68,17.71,13.2,0.2941,2.12
BjornderBaer,JarJar,9,6,3,18.0,21.22,19.61,0.5797,0.46
BjornderBaer,masterv5983,14,6,8,17.57,17.57,17.57,0.7792,0.8
BjornderBaer,rudedawg,14,5,9,18.86,17.57,18.21,0.5952,0.77
Blumpo Gripliskin,JarJar,19,18,1,5.95,19.05,12.5,0.0569,1.52
Blumpo Gripliskin,rudedawg,21,19,2,5.71,20.48,13.1,0.103,1.6
Covert Skeleton,JarJar,20,15,5,14.0,17.85,15.92,0.3333,1.26
Covert Skeleton,S31gn3ur Chr3t13n,41,18,23,13.68,10.73,12.21,0.7024,3.36
Covert Skeleton,Yngvi,8,3,5,20.25,15.12,17.69,0.6818,0.45
Covert Skeleton,rudedawg,19,9,10,15.53,15.53,15.53,0.9023,1.22
Dreamweaver,JarJar,23,16,7,13.48,18.09,15.78,0.4198,1.46
Dreamweaver,TheHunter222,17,6,11,17.0,11.59,14.29,0.5647,1.19
Dreamweaver,rudedawg,9,6,3,13.44,18.89,16.17,0.5797,0.56
JarJar,Kozlak,10,3,7,17.7,12.8,15.25,0.5,0.66
JarJar,Mubirobiro [BR],13,1,12,17.54,9.31,13.42,0.0993,0.97
JarJar,N Prime,36,1,35,18.78,4.53,11.65,0.0206,3.09
JarJar,Rosewood,18,3,15,17.78,8.5,13.14,0.2083,1.37
JarJar,S31gn3ur Chr3t13n,49,8,41,17.0,9.76,13.38,0.1232,3.66
JarJar,Skoops!,28,6,22,17.46,9.0,13.23,0.2381,2.12
JarJar,TheHunter222,20,8,12,17.95,15.0,16.48,0.6667,1.21
JarJar,Xrenoid,38,7,31,18.34,8.97,13.66,0.1675,2.78
JarJar,btroitsk,33,8,25,15.91,10.24,13.08,0.2621,2.52
JarJar,flowerlady32,8,5,3,16.62,19.25,17.94,0.6818,0.45
JarJar,hrejarz2,23,20,3,15.3,21.57,18.43,0.141,1.25
JarJar,masterv5983,37,11,26,17.32,14.54,15.93,0.3398,2.32
JarJar,rudedawg,20,9,11,17.7,18.15,17.92,0.8182,1.12
JarJar,soc.from.ub.kodao,23,0,23,18.52,3.57,11.04,0.0,2.08
Kozlak,orutra621,12,8,4,11.75,18.75,15.25,0.5556,0.79
Kozlak,rudedawg,19,13,6,11.84,17.63,14.74,0.4678,1.29
