player1,player2,total_encounters,p1_wins,p2_wins,p1_avg_rank,p2_avg_rank,avg_combined_rank,closeness,elite_score
Conroy Milk,Skoops!,19,2,17,12.63,6.26,9.45,0.1203,2.01
Conroy Milk,Xrenoid,15,4,11,11.33,9.6,10.47,0.3951,1.43
Conroy Milk,benreichardt,11,11,0,11.36,24.73,18.05,0.0,0.61
Conroy Milk,camoutbussin,11,2,9,13.73,6.18,9.95,0.2694,1.11
Conroy Milk,doniatka,8,0,8,13.75,9.0,11.38,0.0,0.7
Conroy Milk,khang.pham2401,7,4,3,12.29,15.14,13.71,0.8163,0.51
Conroy Milk,Коля Зман,7,5,2,14.14,15.71,14.93,0.4969,0.47
Conroy Milk,Hfmotta,9,9,0,10.44,25.56,18.0,0.0,0.5
Conroy Milk,Kola Koala,7,7,0,12.71,24.0,18.36,0.0,0.38
Conroy Milk,Mr_Aapies,15,13,2,11.6,21.6,16.6,0.172,0.9
Conroy Milk,Siker_7,20,6,14,12.5,9.45,10.98,0.4286,1.82
Conroy Milk,blankE,18,11,7,11.94,15.0,13.47,0.6481,1.34
Conroy Milk,ciga,16,10,6,14.06,15.88,14.97,0.625,1.07
Conroy Milk,jjjeffer78,12,12,0,12.58,21.33,16.96,0.0,0.71
Conroy Milk,tsromanow,11,7,4,11.82,12.91,12.36,0.6324,0.89
Dreamweaver,Kola Koala,8,6,2,12.0,22.5,17.25,0.4167,0.46
Jeeda Sensei,Kola Koala,9,8,1,5.67,23.0,14.33,0.1646,0.63
Kola Koala,Quali,8,0,8,22.75,3.75,13.25,0.0,0.6
Kola Koala,ciga,7,1,6,21.71,12.86,17.29,0.2286,0.4
Mr_Aapies,Siker_7,17,0,17,22.71,8.18,15.44,0.0,1.1
Mr_Aapies,ciga,11,4,7,24.64,19.0,21.82,0.6324,0.5
Mr_Aapies,tsromanow,9,1,8,21.56,13.11,17.33,0.1646,0.52
Conroy Milk,Grimning,19,14,5,11.95,20.47,16.21,0.363,1.17
Conroy Milk,Reynauld,10,3,7,14.0,12.2,13.1,0.5,0.76
Conroy Milk,Skit,13,8,5,9.77,13.54,11.65,0.6689,1.12
Conroy Milk,hrejarz2,7,5,2,13.43,18.86,16.14,0.4969,0.43
Conroy Milk,slaaneshtgof,7,6,1,12.71,24.0,18.36,0.2286,0.38
Conroy Milk,Коmар,14,8,6,10.79,16.71,13.75,0.7792,1.02
Grimning,Reynauld,9,2,7,19.0,13.0,16.0,0.3556,0.56
Quali,augustboyer198,7,7,0,5.43,20.14,12.79,0.0,0.55
Reynauld,ciga,8,5,3,10.88,14.5,12.69,0.6818,0.63
S31gn3ur Chr3t13n,augustboyer198,7,7,0,6.0,20.14,13.07,0.0,0.54
Skit,hrejarz2,7,4,3,13.86,17.71,15.79,0.8163,0.44
Skit,tsromanow,11,6,5,11.73,14.27,13.0,0.8658,0.85
Skit,Коmар,13,9,4,13.31,16.23,14.77,0.4923,0.88
Conroy Milk,DavidPrime83,7,7,0,11.57,24.86,18.21,0.0,0.38
Conroy Milk,Hirow,8,6,2,12.88,19.0,15.94,0.4167,0.5
Conroy Milk,luisarlen23,13,2,11,11.85,5.0,8.42,0.2122,1.54
DavidPrime83,Dreamweaver,9,2,7,23.44,16.0,19.72,0.3556,0.46
DavidPrime83,Grimning,8,4,4,23.0,19.75,21.38,1.0,0.37
DavidPrime83,S31gn3ur Chr3t13n,11,0,11,24.0,4.91,14.45,0.0,0.76
DavidPrime83,Skoops!,8,0,8,22.12,5.88,14.0,0.0,0.57
Dreamweaver,Reynauld,9,3,6,12.89,9.22,11.06,0.5797,0.81
Bidderlyn,WhiteNorth,8,8,0,1.62,21.62,11.62,0.0,0.69
Dreamweaver,Frango,17,11,6,11.94,18.0,14.97,0.5647,1.14
Frango,N Prime,9,0,9,19.11,2.33,10.72,0.0,0.84
Frango,Reynauld,7,1,6,17.71,12.14,14.93,0.2286,0.47
Frango,Siker_7,19,3,16,17.05,9.37,13.21,0.1914,1.44
Frango,luisarlen23,12,0,12,15.42,4.92,10.17,0.0,1.18
Frango,tsromanow,13,6,7,17.15,16.15,16.65,0.8791,0.78
Frango,Коmар,10,5,5,17.0,16.9,16.95,1.0,0.59
Jeeda Sensei,WhiteNorth,8,8,0,3.62,21.62,12.62,0.0,0.63
N Prime,Reynauld,7,7,0,2.14,11.43,6.79,0.0,1.03
Quali,WhiteNorth,8,8,0,6.88,21.62,14.25,0.0,0.56
Reynauld,Siker_7,10,2,8,13.4,8.1,10.75,0.3077,0.93
Reynauld,Xrenoid,9,3,6,12.67,11.0,11.83,0.5797,0.76
Siker_7,WhiteNorth,7,6,1,7.86,20.71,14.29,0.2286,0.49
Siker_7,hrejarz2,11,11,0,9.27,20.18,14.73,0.0,0.75
Bidderlyn,Pask74,7,7,0,1.43,26.14,13.79,0.0,0.51
Conroy Milk,JarJar,13,8,5,13.23,16.54,14.88,0.6689,0.87
Conroy Milk,N Prime,9,0,9,13.11,2.56,7.83,0.0,1.15
Conroy Milk,Pask74,9,9,0,10.22,22.11,16.17,0.0,0.56
