active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2793.91,2126.99,76,1.0,2026-02-19,1,1.025,True
2,Jeeda Sensei,2758.64,2081.81,81,1.0,2026-02-20,0,1.025,True
,N Prime,2664.63,1986.09,27,0.9,2026-02-09,11,1.225,False
3,Quali,2634.29,1960.43,97,1.0,2026-02-20,0,1.025,True
4,S31gn3ur Chr3t13n,2606.2,1938.31,68,1.0,2026-02-20,0,1.025,True
5,luisarlen23,2567.3,1909.88,36,1.0,2026-02-19,1,1.225,True
6,camoutbussin,2474.27,1849.94,35,1.0,2026-02-19,1,1.025,True
7,Skoops!,2463.22,1843.44,55,1.0,2026-02-20,0,1.025,True
8,Siker_7,2455.15,1838.76,47,1.0,2026-02-19,1,1.025,True
,m.melkowski1,2393.05,1804.54,42,1.0,2026-01-02,49,1.05,False
,Blumpo Gripliskin,2328.39,1771.81,15,0.5,2026-01-23,28,1.025,False
,doniatka,2318.39,1766.97,30,1.0,2026-01-19,32,1.1,False
9,Xrenoid,2308.98,1762.48,55,1.0,2026-02-18,2,1.025,True
10,Skit,2261.69,1740.56,34,1.0,2026-02-20,0,1.05,True
,Conroy Milk,2219.35,1721.84,28,0.93,2026-02-07,13,1.025,False
,Zu,2205.1,1715.71,10,0.33,2025-11-28,84,1.1,False
11,btroitsk,2190.92,1709.69,40,1.0,2026-02-19,1,1.025,True
12,fmc91,2154.2,1694.47,21,0.7,2026-02-18,2,1.025,True
,austin_midd,2151.11,1693.21,16,0.53,2025-12-20,62,1.025,False
,Rubens,2145.95,1691.12,10,0.33,2025-12-09,73,1.025,False
13,Dreamweaver,2145.01,1690.74,54,1.0,2026-02-20,0,1.075,True
,Mubirobiro [BR],2144.68,1690.6,14,0.47,2025-12-30,52,1.1,False
,yaelsky96,2104.6,1674.66,12,0.4,2026-02-10,10,1.025,False
,Jhon Whisky,2089.39,1668.74,5,0.17,2026-01-13,38,1.25,False
14,gitm_4,2043.21,1651.21,17,0.57,2026-02-16,4,1.075,True
15,blankE,2030.69,1646.56,56,1.0,2026-02-20,0,1.025,True
,Reynauld,1957.76,1620.3,16,0.53,2026-02-08,12,1.2,False
,AGR_Inbound,1957.62,1620.25,6,0.2,2025-12-03,79,1.05,False
,Dan,1956.52,1619.86,13,0.43,2025-12-03,79,1.025,False
,ricardo_lbrugnago,1941.27,1614.54,4,0.13,2026-01-17,34,1.25,False
16,Laska,1926.09,1609.29,17,0.57,2026-02-19,1,1.025,True
17,tsromanow,1919.99,1607.2,32,1.0,2026-02-20,0,1.05,True
,Covert Skeleton,1908.24,1603.19,11,0.37,2026-01-15,36,1.25,False
18,genevrier_ou,1903.66,1601.64,42,1.0,2026-02-20,0,1.025,True
,TheHunter222,1880.5,1593.85,24,0.8,2026-02-11,9,1.25,False
,Nocek,1878.09,1593.04,16,0.53,2025-12-10,72,1.1,False
,masterv5983,1871.9,1590.98,42,1.0,2026-02-11,9,1.05,False
,Vadd,1840.82,1580.76,4,0.13,2025-12-05,77,1.2,False
19,maximeeepje,1824.9,1575.6,13,0.43,2026-02-15,5,1.125,True
,Madnukin,1818.92,1573.68,5,0.17,2026-01-30,21,1.25,False
,AniBunny,1789.1,1564.19,3,0.1,2026-02-09,11,1.075,False
,DIBRAS,1772.81,1559.07,6,0.2,2025-12-31,51,1.05,False
20,flowerlady32,1769.27,1557.97,13,0.43,2026-02-13,7,1.025,True
21,JarJar,1737.94,1548.3,42,1.0,2026-02-15,5,1.05,True
,Thanos,1735.6,1547.59,2,0.07,2025-12-28,54,1.025,False
,Booorman,1734.74,1547.33,8,0.27,2026-02-02,18,1.1,False
,mishaaku,1727.63,1545.16,4,0.13,2025-11-15,97,1.05,False
,greattwizzler,1723.35,1543.86,3,0.1,2025-12-03,79,1.025,False
,Proxy,1713.5,1540.89,1,0.03,2025-11-17,95,1.0,False
,Thursday,1712.32,1540.54,1,0.03,2025-11-10,102,1.0,False
,GeekDoesStuff,1707.96,1539.23,1,0.03,2025-11-24,88,1.0,False
,Masterspades,1707.15,1538.98,2,0.07,2025-11-26,86,1.25,False
,grahamthehuman,1702.23,1537.51,4,0.13,2025-11-27,85,1.05,False
,imnickio2,1697.78,1536.19,5,0.17,2025-12-12,70,1.25,False
,BekfastStealer,1697.32,1536.05,1,0.03,2025-11-17,95,1.0,False
,adresmarka,1694.02,1535.07,1,0.03,2025-12-30,52,1.0,False
,r3coil,1693.79,1535.0,2,0.07,2025-11-25,87,1.25,False
,Black_Stark,1691.13,1534.21,1,0.03,2025-11-16,96,1.0,False
,Robsje,1689.33,1533.67,1,0.03,2025-11-12,100,1.0,False
,headhuntman,1685.73,1532.61,1,0.03,2025-11-26,86,1.0,False
,Christian Kaiser,1684.63,1532.28,3,0.1,2026-02-09,11,1.075,False
,AxelKeyzer,1684.47,1532.24,1,0.03,2026-01-10,41,1.0,False
,Jannik,1684.2,1532.16,3,0.1,2025-11-15,97,1.075,False
,Ralf Schumacher,1681.7,1531.42,1,0.03,2026-01-09,42,1.0,False
,patrykelektryk,1681.43,1531.34,2,0.07,2026-01-09,42,1.175,False
,Gone dark.,1681.17,1531.27,1,0.03,2025-11-10,102,1.0,False
,seagull,1680.54,1531.08,1,0.03,2025-12-03,79,1.0,False
,Moody Blues,1679.39,1530.74,1,0.03,2026-02-12,8,1.0,False
,Ljinsta_SKOJ,1677.49,1530.18,2,0.07,2026-01-06,45,1.075,False
,Calyceus,1675.45,1529.58,1,0.03,2025-11-14,98,1.0,False
,semperpsychotic,1675.45,1529.58,6,0.2,2025-12-23,59,1.25,False
,horst-van-panzer,1673.9,1529.13,2,0.07,2025-11-27,85,1.075,False
,WizJex,1673.88,1529.12,1,0.03,2026-02-20,0,1.0,False
,J.M.AVON,1672.1,1528.6,2,0.07,2025-11-14,98,1.05,False
,Augustin,1671.62,1528.46,2,0.07,2025-12-28,54,1.25,False
,Nando Rekel,1671.37,1528.39,1,0.03,2025-11-16,96,1.0,False
,HungryFred,1671.09,1528.3,1,0.03,2025-11-17,95,1.0,False
,Lycerker,1670.19,1528.04,1,0.03,2025-11-24,88,1.0,False
,Friendo,1669.0,1527.69,1,0.03,2025-11-22,90,1.0,False
,Zardon,1666.91,1527.08,1,0.03,2025-11-29,83,1.0,False
,demitype,1663.73,1526.15,1,0.03,2025-11-24,88,1.0,False
,micerang,1662.66,1525.84,1,0.03,2025-11-12,100,1.0,False
,deadsanta,1662.65,1525.84,1,0.03,2026-01-08,43,1.0,False
,Brontozaurul,1661.4,1525.47,1,0.03,2025-12-16,66,1.0,False
,Karinos,1659.93,1525.05,1,0.03,2026-02-20,0,1.0,False
,Gynkou,1659.47,1524.91,1,0.03,2025-12-26,56,1.0,False
,AHoboWithASpork,1659.23,1524.85,5,0.17,2026-01-07,44,1.1,False
,AoG Chain,1656.98,1524.19,1,0.03,2025-11-11,101,1.0,False
,BigOak,1656.23,1523.97,11,0.37,2025-12-31,51,1.025,False
,TOBI,1655.95,1523.89,1,0.03,2025-11-30,82,1.0,False
,Scarmind.Italy,1653.37,1523.15,1,0.03,2025-12-16,66,1.0,False
,jin,1651.69,1522.66,2,0.07,2026-02-15,5,1.05,False
,Aracnideo,1650.86,1522.42,1,0.03,2026-01-06,45,1.0,False
,T1D,1647.09,1521.33,1,0.03,2025-11-11,101,1.0,False
,bertobrown10,1646.88,1521.27,1,0.03,2026-02-11,9,1.0,False
,cottleoscar,1646.38,1521.13,1,0.03,2025-11-22,90,1.0,False
,L@@-Yo$h,1646.28,1521.1,1,0.03,2025-11-13,99,1.0,False
,Moun Moun,1645.02,1520.74,1,0.03,2025-11-15,97,1.0,False
,Xinnzo,1643.95,1520.43,1,0.03,2025-11-16,96,1.0,False
,Bren4azer,1643.7,1520.36,1,0.03,2025-11-10,102,1.0,False
,cpapson2,1643.67,1520.35,1,0.03,2025-12-21,61,1.0,False
,Tiger_Ice,1643.09,1520.18,1,0.03,2025-12-26,56,1.0,False
,Mathews,1640.87,1519.54,1,0.03,2025-12-04,78,1.0,False
,john,1640.72,1519.5,1,0.03,2025-11-18,94,1.0,False
,vitorluizc.mioni,1640.31,1519.38,1,0.03,2025-12-29,53,1.0,False
,tacojackbecker,1639.98,1519.29,1,0.03,2026-02-12,8,1.0,False
,wsmith,1638.23,1518.79,1,0.03,2025-12-25,57,1.0,False
,Javich,1638.05,1518.74,1,0.03,2026-02-14,6,1.0,False
,Clac,1637.19,1518.49,1,0.03,2025-11-11,101,1.0,False
,Barbatus Lupus Rex,1636.36,1518.25,1,0.03,2026-01-03,48,1.0,False
,kaiserbeel,1636.19,1518.2,1,0.03,2025-11-27,85,1.0,False
,skye,1635.87,1518.11,1,0.03,2025-11-14,98,1.0,False
,alexander.r,1635.7,1518.06,1,0.03,2025-12-12,70,1.0,False
,Simmonsfield,1634.77,1517.8,1,0.03,2025-11-29,83,1.0,False
,Graeme,1634.0,1517.58,1,0.03,2025-12-03,79,1.0,False
,Biferti,1633.83,1517.53,1,0.03,2025-11-20,92,1.0,False
,TheDimedroll,1633.76,1517.51,1,0.03,2026-01-22,29,1.0,False
,SmallDEnergy,1632.72,1517.21,1,0.03,2026-01-07,44,1.0,False
,Plattinum,1631.0,1516.72,1,0.03,2025-12-28,54,1.0,False
,WhatATrueHero,1630.9,1516.69,4,0.13,2025-11-21,91,1.05,False
,Bwooo,1630.48,1516.58,4,0.13,2025-11-20,92,1.075,False
,Gannon,1629.46,1516.28,1,0.03,2025-11-24,88,1.0,False
,IamSparks,1629.12,1516.19,2,0.07,2025-11-16,96,1.05,False
,LaQcaracha,1629.03,1516.16,1,0.03,2025-11-25,87,1.0,False
,Cull,1628.92,1516.13,1,0.03,2026-02-09,11,1.0,False
,Kxeenu,1628.64,1516.05,1,0.03,2026-02-14,6,1.0,False
,cyanx7,1628.57,1516.03,2,0.07,2025-11-16,96,1.075,False
,joes.feliciani,1628.31,1515.96,1,0.03,2025-11-22,90,1.0,False
,rudedawg,1628.09,1515.89,4,0.13,2025-12-26,56,1.025,False
,Sensei Snoops,1627.56,1515.74,1,0.03,2026-01-08,43,1.0,False
,Heros are Dead,1626.74,1515.51,3,0.1,2025-11-30,82,1.075,False
,gg,1625.8,1515.24,1,0.03,2025-12-07,75,1.0,False
,Il sottocollo di M.Costanzo,1625.7,1515.21,2,0.07,2025-12-06,76,1.25,False
,danger guy,1624.32,1514.82,12,0.4,2025-12-05,77,1.025,False
,Frunz15,1624.14,1514.77,4,0.13,2025-12-17,65,1.1,False
,Valiant Coruscare,1624.07,1514.75,1,0.03,2025-11-29,83,1.0,False
,TTobing,1623.65,1514.63,2,0.07,2025-12-26,56,1.25,False
,snake vivian,1622.7,1514.36,1,0.03,2026-01-09,42,1.0,False
,Barbaferro,1622.46,1514.3,6,0.2,2026-02-15,5,1.15,False
,Ahem,1622.41,1514.28,4,0.13,2025-11-28,84,1.025,False
,Kazed,1621.32,1513.97,1,0.03,2025-12-06,76,1.0,False
,BattleOfWits,1619.75,1513.53,1,0.03,2025-11-30,82,1.0,False
,ForgottenSouls,1619.18,1513.37,1,0.03,2025-11-17,95,1.0,False
,Ch1ckenCh0wMe1n,1618.59,1513.2,2,0.07,2026-01-18,33,1.15,False
,enotxu,1617.91,1513.01,1,0.03,2026-02-17,3,1.0,False
,0mexol,1617.06,1512.77,9,0.3,2026-01-05,46,1.1,False
,CuddlyShark,1616.08,1512.49,1,0.03,2026-02-15,5,1.0,False
,inyurface,1615.52,1512.34,1,0.03,2025-12-14,68,1.0,False
,RiceTea,1615.11,1512.22,1,0.03,2025-11-13,99,1.0,False
,HappyCatTail,1614.43,1512.03,1,0.03,2026-02-20,0,1.0,False
,SDubya,1612.61,1511.52,3,0.1,2026-01-18,33,1.25,False
,potis,1612.24,1511.41,2,0.07,2026-01-28,23,1.05,False
,NAN (bot),1611.71,1511.26,1,0.03,2025-11-11,101,1.0,False
,Punch WB,1611.53,1511.21,2,0.07,2026-01-08,43,1.25,False
,Kaza,1609.27,1510.58,1,0.03,2025-12-04,78,1.0,False
,Luffy,1608.93,1510.49,1,0.03,2026-02-08,12,1.0,False
,samoray737,1608.56,1510.38,4,0.13,2025-12-20,62,1.25,False
,The Hamilton Ham Candle,1607.91,1510.2,2,0.07,2025-11-16,96,1.075,False
,Handsome_Rakshas,1607.85,1510.18,2,0.07,2025-11-18,94,1.2,False
,Donalgo,1607.66,1510.13,1,0.03,2026-01-20,31,1.0,False
,Sly_C0rVid,1607.49,1510.08,1,0.03,2025-11-23,89,1.0,False
,potato daddy,1606.77,1509.88,1,0.03,2025-11-12,100,1.0,False
,Sif The Great Wolf,1605.05,1509.4,1,0.03,2026-01-21,30,1.0,False
,BROK3N Fury,1604.0,1509.1,1,0.03,2025-11-25,87,1.0,False
,tmczar,1602.88,1508.79,1,0.03,2025-11-27,85,1.0,False
,Laristin,1601.28,1508.34,1,0.03,2026-01-19,32,1.0,False
,bullzebub,1601.19,1508.32,15,0.5,2026-02-06,14,1.25,False
,Dillicious,1600.3,1508.07,5,0.17,2025-12-20,62,1.225,False
,jack8in,1598.72,1507.63,1,0.03,2026-02-16,4,1.0,False
,Valerio,1598.37,1507.53,3,0.1,2025-11-25,87,1.175,False
,The Electric Monk,1596.23,1506.94,1,0.03,2026-02-02,18,1.0,False
,Young Catweazle,1593.96,1506.31,6,0.2,2026-01-17,34,1.25,False
,Orlum,1592.91,1506.02,1,0.03,2026-02-07,13,1.0,False
,khang.pham2401,1592.89,1506.01,30,1.0,2026-01-21,30,1.25,False
22,Grimning,1591.97,1505.76,44,1.0,2026-02-19,1,1.025,True
,Exres,1591.49,1505.62,1,0.03,2025-12-10,72,1.0,False
,Jells,1590.01,1505.22,1,0.03,2026-01-29,22,1.0,False
,CrimsonBladesTTV,1589.56,1505.09,2,0.07,2026-02-01,19,1.025,False
,Bolid,1588.88,1504.9,1,0.03,2025-11-18,94,1.0,False
,nAhZz,1587.84,1504.62,2,0.07,2025-11-14,98,1.025,False
,owesow23,1587.22,1504.44,1,0.03,2025-11-16,96,1.0,False
,Roob82,1583.49,1503.42,5,0.17,2026-01-10,41,1.075,False
,Pastori's,1583.49,1503.42,2,0.07,2025-12-18,64,1.025,False
,Dunkel,1583.41,1503.39,1,0.03,2025-11-11,101,1.0,False
,Boris,1583.31,1503.37,1,0.03,2025-11-29,83,1.0,False
,Osel,1583.17,1503.33,2,0.07,2025-12-25,57,1.225,False
,Bigmu,1582.74,1503.21,2,0.07,2026-02-17,3,1.15,False
,Njitself,1581.47,1502.86,2,0.07,2025-11-19,93,1.025,False
,Iwantoded,1580.79,1502.67,1,0.03,2026-02-01,19,1.0,False
,Liz,1580.61,1502.62,5,0.17,2026-01-31,20,1.25,False
,Lord Black,1580.32,1502.54,1,0.03,2026-02-16,4,1.0,False
,minneymcshort,1580.06,1502.47,1,0.03,2025-11-23,89,1.0,False
,TerryB_2,1579.77,1502.4,4,0.13,2025-12-12,70,1.075,False
,nosky,1577.44,1501.76,3,0.1,2026-02-06,14,1.25,False
,Mr.Schneid3r,1577.0,1501.64,1,0.03,2026-01-25,26,1.0,False
,FUSNM,1575.61,1501.25,1,0.03,2025-12-11,71,1.0,False
,Fullnic,1575.48,1501.22,1,0.03,2026-01-30,21,1.0,False
,ciga,1575.17,1501.14,36,1.0,2026-01-28,23,1.1,False
,OldGregg,1574.42,1500.93,3,0.1,2025-12-13,69,1.2,False
,Коля Зман,1573.87,1500.78,18,0.6,2026-01-26,25,1.225,False
,DoubleZero,1572.84,1500.5,2,0.07,2026-02-13,7,1.25,False
,Hildarkien,1572.56,1500.42,2,0.07,2025-12-25,57,1.25,False
,Sam-G,1571.7,1500.19,1,0.03,2025-11-15,97,1.0,False
,lizardwizard,1570.13,1499.76,1,0.03,2026-01-01,50,1.0,False
,Stubbsius,1570.0,1499.72,1,0.03,2025-12-09,73,1.0,False
,Bloody,1567.85,1499.14,1,0.03,2025-12-19,63,1.0,False
,Miroko,1567.01,1498.91,6,0.2,2026-01-30,21,1.25,False
,Trevbon,1562.34,1497.64,1,0.03,2026-02-16,4,1.0,False
,AnchorTide,1559.54,1496.89,2,0.07,2026-02-06,14,1.25,False
,Kheandre,1559.25,1496.81,1,0.03,2026-01-20,31,1.0,False
,Mrluigi1313,1558.22,1496.53,1,0.03,2025-12-30,52,1.0,False
,Disorder,1558.06,1496.49,1,0.03,2025-11-25,87,1.0,False
,DEIFY,1557.91,1496.45,1,0.03,2026-02-03,17,1.0,False
,Ben the Human,1557.87,1496.44,1,0.03,2025-12-10,72,1.0,False
,pyrevolved,1556.84,1496.16,2,0.07,2025-11-22,90,1.05,False
,Millonmaster,1556.37,1496.03,1,0.03,2025-11-18,94,1.0,False
,Erickzinn,1555.71,1495.85,3,0.1,2026-02-14,6,1.225,False
,Xel,1555.27,1495.74,1,0.03,2025-11-19,93,1.0,False
,Kraseg,1555.22,1495.72,1,0.03,2025-11-26,86,1.0,False
,riccardovercelli99,1554.99,1495.66,1,0.03,2025-11-27,85,1.0,False
,Ravenroks,1554.13,1495.43,1,0.03,2025-11-12,100,1.0,False
,Ento,1552.55,1495.01,1,0.03,2026-01-22,29,1.0,False
,Godzyr,1550.78,1494.53,1,0.03,2026-02-18,2,1.0,False
23,Draghmar 🐲,1550.74,1494.52,17,0.57,2026-02-19,1,1.025,True
,nikkHz,1550.71,1494.51,1,0.03,2025-11-29,83,1.0,False
,Brejan,1550.06,1494.34,1,0.03,2025-12-22,60,1.0,False
,Api,1549.99,1494.32,2,0.07,2025-11-20,92,1.15,False
,Likoukos,1549.39,1494.16,4,0.13,2025-12-12,70,1.025,False
,Amucooler,1548.41,1493.9,1,0.03,2026-02-20,0,1.0,False
,TsunaHan,1548.19,1493.84,1,0.03,2025-11-20,92,1.0,False
,Frango,1548.08,1493.81,25,0.83,2026-02-11,9,1.075,False
,Akovoodo,1547.37,1493.62,1,0.03,2025-12-04,78,1.0,False
,Sinister Fang,1545.38,1493.09,2,0.07,2025-12-02,80,1.1,False
,ccso237,1544.45,1492.84,1,0.03,2025-11-11,101,1.0,False
,Britalin,1544.38,1492.82,1,0.03,2025-11-30,82,1.0,False
,Motorni,1542.83,1492.41,1,0.03,2026-01-12,39,1.0,False
,CrabbyLizardo,1542.72,1492.38,1,0.03,2026-02-14,6,1.0,False
,SuMangoTango,1541.1,1491.95,1,0.03,2025-11-15,97,1.0,False
,MEOW Keys,1541.09,1491.94,1,0.03,2025-11-21,91,1.0,False
,xmichmen,1540.95,1491.91,2,0.07,2025-11-20,92,1.15,False
,Firefox,1540.41,1491.76,2,0.07,2026-02-10,10,1.25,False
,Baruha,1539.53,1491.53,1,0.03,2025-11-12,100,1.0,False
,Doug_D@ta_Scientist,1539.42,1491.5,4,0.13,2025-12-18,64,1.075,False
,radioeddyo,1538.68,1491.31,1,0.03,2025-12-13,69,1.0,False
,Flieguen Orange,1538.48,1491.25,1,0.03,2025-11-14,98,1.0,False
,"Hurok, Master Climber",1537.11,1490.89,1,0.03,2025-12-05,77,1.0,False
,InFecTed,1536.7,1490.78,2,0.07,2026-02-20,0,1.025,False
,Rush B!!!!!!,1535.07,1490.35,2,0.07,2025-11-11,101,1.025,False
,CursedProtector,1533.81,1490.02,2,0.07,2025-11-15,97,1.1,False
,Ally,1533.78,1490.01,3,0.1,2026-02-13,7,1.25,False
,Leshy,1533.33,1489.89,1,0.03,2025-12-04,78,1.0,False
,elmrealm,1532.82,1489.75,3,0.1,2025-11-21,91,1.075,False
,KLAX,1532.44,1489.65,3,0.1,2026-01-21,30,1.25,False
,ReneLeBebe,1527.96,1488.48,2,0.07,2025-11-28,84,1.05,False
,PengWIN,1527.63,1488.39,1,0.03,2025-11-15,97,1.0,False
24,hrejarz2,1527.51,1488.36,29,0.97,2026-02-15,5,1.025,True
,www.jimmyra97,1526.38,1488.06,1,0.03,2026-01-04,47,1.0,False
,Member of the LGTV community,1526.29,1488.04,1,0.03,2025-11-10,102,1.0,False
,AspenLog,1526.12,1487.99,1,0.03,2025-11-12,100,1.0,False
,Solomon kane,1525.96,1487.95,1,0.03,2026-02-09,11,1.0,False
,Gagglegork,1525.43,1487.81,1,0.03,2025-12-09,73,1.0,False
,GuuhKing,1525.18,1487.74,1,0.03,2026-01-26,25,1.0,False
,Ubez,1523.65,1487.34,1,0.03,2026-02-18,2,1.0,False
25,schmendrikson,1523.48,1487.3,26,0.87,2026-02-16,4,1.125,True
,BaronCuckamedi,1521.55,1486.79,1,0.03,2025-11-23,89,1.0,False
,Mortis,1519.89,1486.36,2,0.07,2026-01-07,44,1.25,False
,(Chatuba)-Mazuru,1518.28,1485.94,2,0.07,2026-01-31,20,1.25,False
,Ayngush,1516.41,1485.46,1,0.03,2025-11-11,101,1.0,False
,DEATH ANGEL X1,1516.1,1485.37,1,0.03,2025-11-16,96,1.0,False
,Astral,1515.52,1485.22,1,0.03,2025-12-10,72,1.0,False
,lordb3,1515.36,1485.18,1,0.03,2025-11-19,93,1.0,False
,Bolado,1513.86,1484.79,1,0.03,2025-11-14,98,1.0,False
,Alvarin,1513.26,1484.64,3,0.1,2025-12-12,70,1.25,False
,DirtBoi,1513.1,1484.59,1,0.03,2025-11-10,102,1.0,False
,PandaKitten,1512.45,1484.43,1,0.03,2025-12-20,62,1.0,False
,Feline,1512.09,1484.33,3,0.1,2026-01-26,25,1.25,False
,Mascord,1511.69,1484.23,2,0.07,2026-01-01,50,1.25,False
,BSSAndrea,1511.37,1484.15,1,0.03,2025-12-19,63,1.0,False
,ChO,1510.94,1484.04,4,0.13,2026-01-11,40,1.225,False
,Petter,1510.91,1484.03,1,0.03,2026-02-14,6,1.0,False
,Estolie,1510.79,1484.0,1,0.03,2025-12-22,60,1.0,False
,Kalenne,1510.31,1483.87,1,0.03,2026-02-05,15,1.0,False
,windhamat01,1509.73,1483.72,1,0.03,2026-01-11,40,1.0,False
,Gilgamesh,1508.92,1483.51,1,0.03,2025-12-28,54,1.0,False
,Haffey,1507.48,1483.14,3,0.1,2025-12-14,68,1.25,False
,Odin_Gr,1506.99,1483.02,14,0.47,2026-01-20,31,1.15,False
,Xial,1506.39,1482.86,8,0.27,2026-01-25,26,1.25,False
,deniu,1505.75,1482.7,1,0.03,2025-12-11,71,1.0,False
,linniepinnie,1505.34,1482.59,1,0.03,2025-11-16,96,1.0,False
,Tewan,1505.3,1482.58,1,0.03,2026-02-06,14,1.0,False
,MT6,1504.83,1482.46,1,0.03,2026-01-10,41,1.0,False
,leposs,1504.67,1482.42,1,0.03,2025-11-15,97,1.0,False
,Desto,1504.17,1482.29,4,0.13,2026-02-03,17,1.25,False
,BagelMan,1503.8,1482.2,1,0.03,2026-02-10,10,1.0,False
,ilythor,1503.2,1482.04,1,0.03,2026-02-03,17,1.0,False
,Billy Bad Ass,1502.42,1481.84,1,0.03,2026-02-13,7,1.0,False
,blablaji,1501.78,1481.68,1,0.03,2025-12-20,62,1.0,False
,Gschissana,1501.42,1481.58,1,0.03,2025-11-10,102,1.0,False
,GM DOOM,1501.38,1481.57,3,0.1,2026-01-27,24,1.25,False
,Ongon,1501.29,1481.55,4,0.13,2025-11-28,84,1.05,False
,Sol789,1500.11,1481.25,1,0.03,2025-12-06,76,1.0,False
,hubby26,1500.05,1481.23,11,0.37,2026-01-25,26,1.15,False
,AIIIIII,1499.97,1481.21,1,0.03,2026-02-15,5,1.0,False
,Skaer,1499.15,1480.88,1,0.03,2025-11-20,92,1.0,False
,Executie1031,1499.09,1480.85,1,0.03,2026-01-26,25,1.0,False
,Strobocop,1499.01,1480.82,2,0.07,2025-11-25,87,1.2,False
26,augustboyer198,1498.95,1480.79,9,0.3,2026-02-14,6,1.05,True
